Parameter,Function,Test Case,cyclomatic_complexity
"(int baseSequence, int increment)","public class IncrementSequence {
static int incrementSequence(int baseSequence, int increment) {
        if (baseSequence > Integer.MAX_VALUE - increment)
            return increment - (Integer.MAX_VALUE - baseSequence) - 1;
        return baseSequence + increment;
    }
}","@Test
    public void testIncrementSequence() {
        assertEquals(10, DefaultRecordBatch.incrementSequence(5, 5));
        assertEquals(0, DefaultRecordBatch.incrementSequence(Integer.MAX_VALUE, 1));
        assertEquals(4, DefaultRecordBatch.incrementSequence(Integer.MAX_VALUE - 5, 10));
    }",2
(int c),"public class IsWhitespace {
public static boolean isWhitespace(int c){
        return c == ' ' || c == '\t' || c == '\n' || c == '\f' || c == '\r';
    }
}","@Test public void isWhitespace() {
        assertTrue(StringUtil.isWhitespace('\t'));
        assertTrue(StringUtil.isWhitespace('\n'));
        assertTrue(StringUtil.isWhitespace('\r'));
        assertTrue(StringUtil.isWhitespace('\f'));
        assertTrue(StringUtil.isWhitespace(' '));
        
        assertFalse(StringUtil.isWhitespace('\u00a0'));
        assertFalse(StringUtil.isWhitespace('\u2000'));
        assertFalse(StringUtil.isWhitespace('\u3000'));
    }",5
( int size ),"public class CreateByteArray {
public static byte[] createByteArray( int size ) {
    return new byte[size];
  }
}","@Test
  public void testCreateByteArray() {
    assertTrue( Const.createByteArray( 5 ).length == 5 );
  }",1
(long size),"public class EstimateSizeOverhead {
public static long estimateSizeOverhead(long size) {
      // We take 8 and add the number provided and then round up to 16 (& operator has higher precedence than +)
      return (size + 8 + 15) & ~15;
   }
}","@Test(dataProvider = ""roundings"")
   public void testRoundings(long original, long expected) {
      // The estimate adds 8 and rounds up to 16
      assertEquals(expected, UnpooledOffHeapMemoryAllocator.estimateSizeOverhead(original));
   }",1
(int i),"public class Set {
public void set(int i) {
      throw new UnsupportedOperationException(""RangeSet is immutable"");
   }
}","@Test(expected = UnsupportedOperationException.class)
   public void set() throws Exception {
      RangeSet rs = new RangeSet(4);
      rs.set(1);
   }",1
(int number),"public class IsOdd {
public static boolean isOdd(int number) {
		return number % 2 == 1;
	}
}","@Test
	public void testOdd() {
		assertTrue(MathUtil.isOdd(3));
		assertFalse(MathUtil.isOdd(4));
	}",1
"(int clipX, int clipY)","public class BackGroundPosition {
protected static String backGroundPosition(int clipX, int clipY) {
        return ""background-position: "" + clipX + ""px "" + clipY + ""px !important"";
    }
}","@Test
    public void testBackGroundPosition() {
        final String backGroundPosition = ImageStripDOMGlyphRenderer.backGroundPosition(123, 321);
        assertEquals(backGroundPosition, ""background-position: 123px 321px !important"");
    }",1
"(int page,
                              int size)","public class BuildOffset {
protected int buildOffset(int page,
                              int size) {
        return (page - 1) * size;
    }
}","@Test
    public void testOffsetGeneration() {

        int offset = this.populatedAssetsScreen.buildOffset(1,
                                                            15);

        assertEquals(0,
                     offset);
    }",1
"(int elements,
                             int size)","public class TotalPages {
protected int totalPages(int elements,
                             int size) {
        return Integer.valueOf((int) Math.ceil((double) elements / size));
    }
}","@Test
    public void testTotalPages() {
        {
            int pages = this.populatedAssetsScreen.totalPages(10,
                                                              15);
            assertEquals(1,
                         pages);
        }

        {
            int pages = this.populatedAssetsScreen.totalPages(15, 15);
            assertEquals(1, pages);
        }

        {
            int pages = this.populatedAssetsScreen.totalPages(16,
                                                              15);
            assertEquals(2,
                         pages);
        }

        {
            int pages = this.populatedAssetsScreen.totalPages(30, 15);
            assertEquals(2, pages);
        }
    }",1
"(int numberOfAssets,
                                 int otherCounter)","public class GetAssetsCount {
protected int getAssetsCount(int numberOfAssets,
                                 int otherCounter) {
        if (numberOfAssets < otherCounter || otherCounter == 0) {
            return numberOfAssets;
        } else {
            return otherCounter;
        }
    }
}","@Test
    public void testGetAssetsCount() {
        int assetsCount = this.populatedAssetsScreen.getAssetsCount(15,
                                                                    0);

        assertEquals(15,
                     assetsCount);

        assetsCount = this.populatedAssetsScreen.getAssetsCount(15,
                                                                16);

        assertEquals(15,
                     assetsCount);

        assetsCount = this.populatedAssetsScreen.getAssetsCount(15,
                                                                10);

        assertEquals(10,
                     assetsCount);
    }",3
(long value),"public class IsEven {
public static boolean isEven(long value) {
        return value % 2 == 0;
    }
}","@Test
    public void testIsEven() throws Exception {
        Assert.assertTrue(MathUtils.isEven(evenVal_EXPECTED));
        Assert.assertFalse(MathUtils.isEven(oddVal_EXPECTED));
    }",1
(long value),"public class IsPower2 {
public static boolean isPower2(long value) {
        return value == 1 || value == 2 || value == 4 || value == 8 || value == 16 ||
                value == 32 || value == 64 || value == 128 || value == 256 ||
                value == 512 || value == 1024 || value == 2048 || value == 4096;
    }
}","@Test
    public void testIsPower2() throws Exception {
        Assert.assertTrue(MathUtils.isPower2((long) powerOfTwo_EXPECTED));
        Assert.assertFalse(MathUtils.isPower2((long) notPowerOfTwo_EXPECTED));
    }",13
"(int m, double begin, double pitch)","public class Increment {
public static double[] increment(int m, double begin, double pitch) {
        double[] array = new double[m];
        for (int i = 0; i < m; i++) {
            array[i] = begin + i * pitch;
        }
        return array;
    }
}","@Test
    public void testIncrement1D() throws Exception {
        double[] increment_1D_ACTUAL = MathUtils.increment(5, 0, 0.25);
        Assert.assertArrayEquals(increment_1D_EXPECTED, increment_1D_ACTUAL, DELTA);
    }",2
(double value),"public class Sqr {
@Deprecated
    public static double sqr(double value) {
        return Math.pow(value, 2);
    }
}","@Test
    public void testSqr() throws Exception {
        Assert.assertEquals(Math.pow(VALUE, 2), MathUtils.sqr(VALUE), DELTA);
    }",1
(double value),"public class Sqrt {
@Deprecated
    public static double sqrt(double value) {
        return Math.sqrt(value);
    }
}","@Test
    public void testSqrt() throws Exception {
        Assert.assertEquals(Math.sqrt(VALUE), MathUtils.sqrt(VALUE), DELTA);
    }",1
(int numOfCoefficients),"public class DegreeFromCoefficients {
public static int degreeFromCoefficients(int numOfCoefficients) {
//        return (int) (0.5 * (-1 + (int) (Math.sqrt((double) (1 + 8 * numOfCoefficients))))) - 1;
        return (int) (0.5 * (-1 + (int) (Math.sqrt((double) (1 + 8 * numOfCoefficients))))) - 1;
    }
}","@Test
    public void testDegreeFromCoefficients() throws Exception {
        final int degree_EXPECTED = 5;
        int degree_ACTUAL = PolyUtils.degreeFromCoefficients(21);
        Assert.assertEquals(degree_EXPECTED, degree_ACTUAL);
    }",1
"(int m, double begin, double pitch)","public class Increment {
public static double[] increment(int m, double begin, double pitch) {
        double[] array = new double[m];
        for (int i = 0; i < m; i++) {
            array[i] = begin + i * pitch;
        }
        return array;
    }
}","@Test

    public void testIncrement2D() throws Exception {
        double[][] increment_2D_ACTUAL = MathUtils.increment(5, 2, 0, 0.25);
        for (int i = 0; i < increment_2D_ACTUAL.length; i++) {
            Assert.assertArrayEquals(increment_2D_EXPECTED[i], increment_2D_ACTUAL[i], DELTA);
        }

    }",2
(int columnIndex),"public class GetColumnName {
public static String getColumnName(int columnIndex) {
        String alphabet = ""ABCDEFGHIJKLMNOPQRSTUVWXYZ"";
        StringBuilder columnName = new StringBuilder();

        int index = columnIndex;
        int overflowIndex = -1;
        while (index > 25) {
            overflowIndex++;
            index -= 26;
        }

        if (overflowIndex >= 0) {
            columnName.append(alphabet.toCharArray()[overflowIndex]);
        }

        columnName.append(alphabet.toCharArray()[index]);

        return columnName.toString();
    }
}","@Test
    public void testGetColumnName() {
        Assert.assertEquals(columnName, CellCoordinate.getColumnName(columnIndexCheck));

        String[] names = new String[columnIndexCheck];
        Arrays.fill(names, ""Foo"");
        Assert.assertEquals(columnName, CellCoordinate.getColumnName(columnIndexCheck, 0, names));

        names = new String[columnIndexCheck + 1];
        Arrays.fill(names, ""Foo"");
        Assert.assertEquals(""Foo"", CellCoordinate.getColumnName(columnIndexCheck, 0, names));
        Assert.assertEquals(""Foo"", CellCoordinate.getColumnName(columnIndexCheck, columnIndexCheck, names));
    }",3
(int nDataUnits),"public class GetPackedLength {
public int getPackedLength(int nDataUnits)
    {
        return (nDataUnits + 1) / 2;
    }
}","@Test
    public void testGetPackedLength() throws Throwable {
        int result = BCDInterpreter.LEFT_PADDED.getPackedLength(0);
        assertEquals(0, result, ""result"");
    }",1
(int nDataUnits),"public class GetPackedLength {
public int getPackedLength(int nDataUnits)
    {
        return (nDataUnits + 1) / 2;
    }
}","@Test
    public void testGetPackedLength1() throws Throwable {
        int result = BCDInterpreter.RIGHT_PADDED.getPackedLength(100);
        assertEquals(50, result, ""result"");
    }",1
(int nDataUnits),"public class GetPackedLength {
public int getPackedLength(int nDataUnits)
    {
        return nDataUnits;
    }
}","@Test
    public void testGetPackedLength() {
        assertEquals(3, inter.getPackedLength(3));
    }",1
(int nBytes),"public class GetPackedLength {
public int getPackedLength(int nBytes)
    {
        return nBytes * 2;
    }
}","@Test
    public void testGetPackedLength() {
        assertEquals(6, inter.getPackedLength(3));
    }",1
(long millis),"public class Sleep {
public static void sleep (long millis) {
        try {
            Thread.sleep (millis);
        } catch (InterruptedException ignored) { }
    }
}","@Test
    public void testSleepThrowsIllegalArgumentException() throws Throwable {
        try {
            ISOUtil.sleep(-30L);
            fail(""Expected IllegalArgumentException to be thrown"");
        } catch (IllegalArgumentException ex) {
            assertEquals(""timeout value is negative"", ex.getMessage(), ""ex.getMessage()"");
        }
    }",2
(long millis),"public class Sleep {
public static void sleep (long millis) {
        try {
            Thread.sleep (millis);
        } catch (InterruptedException ignored) { }
    }
}","@Test
    public void testSleep() throws Throwable {
        ISOUtil.sleep(100L);
        assertTrue(true, ""Test completed without Exception"");
    }",2
(long durationMs),"public class DurationToString {
public static String durationToString(long durationMs) {
    boolean negative = false;
    if (durationMs < 0) {
      negative = true;
      durationMs = -durationMs;
    }
    // Chop off the milliseconds
    long durationSec = durationMs / 1000;
    final int secondsPerMinute = 60;
    final int secondsPerHour = 60*60;
    final int secondsPerDay = 60*60*24;
    final long days = durationSec / secondsPerDay;
    durationSec -= days * secondsPerDay;
    final long hours = durationSec / secondsPerHour;
    durationSec -= hours * secondsPerHour;
    final long minutes = durationSec / secondsPerMinute;
    durationSec -= minutes * secondsPerMinute;
    final long seconds = durationSec;
    final long milliseconds = durationMs % 1000;
    String format = ""%03d:%02d:%02d:%02d.%03d"";
    if (negative)  {
      format = ""-"" + format;
    }
    return String.format(format, days, hours, minutes, seconds, milliseconds);
  }
}","@Test(timeout=1000)
  public void testDurationToString() throws Exception {
    assertEquals(""000:00:00:00.000"", DFSUtil.durationToString(0));
    assertEquals(""001:01:01:01.000"",
        DFSUtil.durationToString(((24*60*60)+(60*60)+(60)+1)*1000));
    assertEquals(""000:23:59:59.999"",
        DFSUtil.durationToString(((23*60*60)+(59*60)+(59))*1000+999));
    assertEquals(""-001:01:01:01.000"",
        DFSUtil.durationToString(-((24*60*60)+(60*60)+(60)+1)*1000));
    assertEquals(""-000:23:59:59.574"",
        DFSUtil.durationToString(-(((23*60*60)+(59*60)+(59))*1000+574)));
  }",3
"(int width, int height)","public class CalcRadius {
static int calcRadius(int width, int height) {
        return (int) Math.round(Math.sqrt((float) width * width + height * height));
    }
}","@Test
    public void calRadius_returns_correct_radius() throws Exception {
        final int radius = AnimatorFactory.calcRadius(3, 4);
        assertEquals(5, radius);
    }",1
(int statusCode),"public class IsStatusCodeOk {
boolean isStatusCodeOk(int statusCode) {
        return (statusCode >= 200 && statusCode < 300);
    }
}","@Test
    public void testIsStatusOkWorksAsIntended() {
        int tooLow = 199;
        int tooHigh = 300;
        int justRight = 200;

        assertFalse(gateway.isStatusCodeOk(tooLow));
        assertFalse(gateway.isStatusCodeOk(tooHigh));
        assertTrue(gateway.isStatusCodeOk(justRight));
    }",2
"(int length, int batchSize)","public class GetBatchCount {
public static int getBatchCount(int length, int batchSize) {
    // Avoid negative numbers.
    if ((batchSize < 1) || (length < 1)) {
      return 0;
    }
    int remainder = length % batchSize;
    return (remainder > 0) ? (length / batchSize) + 1 : (length / batchSize);
  }
}","@Test
  public void testGetBatchCount() {
    // Edge cases
    assertEquals(0, BatchUtil.getBatchCount(0,0));
    assertEquals(0, BatchUtil.getBatchCount(-1,0));
    assertEquals(0, BatchUtil.getBatchCount(-2,4));
    assertEquals(0, BatchUtil.getBatchCount(5,-7));


    // One
    assertEquals(1, BatchUtil.getBatchCount(9,9));
    assertEquals(1, BatchUtil.getBatchCount(9,10));
    assertEquals(1, BatchUtil.getBatchCount(9,11));
    assertEquals(1, BatchUtil.getBatchCount(9,18));
    assertEquals(1, BatchUtil.getBatchCount(9,19));
    
    // More
    assertEquals(2, BatchUtil.getBatchCount(9,8));
    assertEquals(2, BatchUtil.getBatchCount(9,7));
    assertEquals(2, BatchUtil.getBatchCount(9,6));
    assertEquals(2, BatchUtil.getBatchCount(9,5));
    assertEquals(3, BatchUtil.getBatchCount(9,4));
    assertEquals(3, BatchUtil.getBatchCount(9,3));
    assertEquals(5, BatchUtil.getBatchCount(9,2));
    assertEquals(9, BatchUtil.getBatchCount(9,1));
  }",3
