,Function,cyclomatic_complexity,javadoc_length,tokens,LOC
318,"public class GETCAP {
/**
   * Determine how many tasks of a given type we want to run on a TaskTracker. 
   * This cap is chosen based on how many tasks of that type are outstanding in
   * total, so that when the cluster is used below capacity, tasks are spread
   * out uniformly across the nodes rather than being clumped up on whichever
   * machines sent out heartbeats earliest.
   */
  int getCap(int totalRunnableTasks, int localMaxTasks, int totalSlots) {
    double load = ((double)totalRunnableTasks) / totalSlots;
    return (int) Math.ceil(localMaxTasks * Math.min(1.0, load));
  }
}",1.0,5,60,3
319,"public class UNSIGNEDLONGDIV {
/**
   * Divide x by m as if x is an unsigned 64-bit integer. Examples:
   * unsignedLongDiv(-1, 2) == Long.MAX_VALUE unsignedLongDiv(6, 3) == 2
   * unsignedLongDiv(0, 5) == 0
   * 
   * @param x
   *          is treated as unsigned
   * @param m
   *          is treated as signed
   */
  private long unsignedLongDiv(long x, int m) {
    if (x >= 0) {
      return x / m;
    }

    // Let uval be the value of the unsigned long with the same bits as x
    // Two's complement => x = uval - 2*MAX - 2
    // => uval = x + 2*MAX + 2
    // Now, use the fact: (a+b)/c = a/c + b/c + (a%c+b%c)/c
    return x / m + 2 * (Long.MAX_VALUE / m) + 2 / m
        + (x % m + 2 * (Long.MAX_VALUE % m) + 2 % m) / m;
  }
}",2.0,5,33,6
320,"public class DIGIT {
/**
   * Returns the digit represented by character b.
   *
   * @param b
   *          The ascii code of the character
   * @param radix
   *          The radix
   * @return -1 if it's invalid
   */
  public static int digit(int b, int radix) {
    int r = -1;
    if (b >= '0' && b <= '9') {
      r = b - '0';
    } else if (b >= 'A' && b <= 'Z') {
      r = b - 'A' + 10;
    } else if (b >= 'a' && b <= 'z') {
      r = b - 'a' + 10;
    }
    if (r >= radix) {
      r = -1;
    }
    return r;
  }
}",8.0,3,15,10
321,"public class TOCODEPOINT {
/**
     * Return the unicode code point represented by the high/low surrogate pair.
     * <p>
     * This is not a public API.
     * @param highSurrogate the high char of the high/low pair
     * @param lowSurrogate the low char of the high/low pair
     * @xsl.usage internal
     */
    static int toCodePoint(char highSurrogate, char lowSurrogate) {
        int codePoint =
            ((highSurrogate - 0xd800) << 10)
                + (lowSurrogate - 0xdc00)
                + 0x10000;
        return codePoint;
    }
}",1.0,3,18,2
322,"public class TOCODEPOINT {
/**
     * Return the unicode code point represented by the char.
     * A bit of a dummy method, since all it does is return the char,
     * but as an int value.
     * <p>
     * This is not a public API.
     * @param ch the char.
     * @xsl.usage internal
     */
    static int toCodePoint(char ch) {
        int codePoint = ch;
        return codePoint;
    }
}",1.0,5,35,2
323,"public class ISCHARACTERINC0ORC1RANGE {
/**
     * This method checks if a given character is between C0 or C1 range
     * of Control characters.
     * This method is added to support Control Characters for XML 1.1
     * If a given character is TAB (0x09), LF (0x0A) or CR (0x0D), this method
     * return false. Since they are whitespace characters, no special processing is needed.
     * 
     * @param ch
     * @return boolean
     */
    private static boolean isCharacterInC0orC1Range(char ch)
    {
        if(ch == 0x09 || ch == 0x0A || ch == 0x0D)
        	return false;
        else        	    	
        	return (ch >= 0x7F && ch <= 0x9F)|| (ch >= 0x01 && ch <= 0x1F);
    }
}",7.0,5,53,2
324,"public class COMPARENUMBERS {
/**
   * Compare two numbers for less than.
   *
   *
   * @param n1 First number to compare
   * @param n2 Second number to compare
   *
   * @return true if n1 is less than n2
   */
  boolean compareNumbers(double n1, double n2)
  {
    return n1 < n2;
  }
}",1.0,1,6,2
325,"public class COMPARENUMBERS {
/**
   * Compare two numbers for less than or equal.
   *
   *
   * @param n1 First number to compare
   * @param n2 Second number to compare
   *
   * @return true if n1 is less than or equal to n2
   */
  boolean compareNumbers(double n1, double n2)
  {
    return n1 <= n2;
  }
}",1.0,1,8,2
326,"public class COMPARENUMBERS {
/**
   * Compare two numbers for greater than.
   *
   *
   * @param n1 First number to compare
   * @param n2 Second number to compare
   *
   * @return true if n1 is greater than n2
   */
  boolean compareNumbers(double n1, double n2)
  {
    return n1 > n2;
  }
}",1.0,1,6,2
327,"public class COMPARENUMBERS {
/**
   * Compare two numbers for greater than or equal.
   *
   *
   * @param n1 First number to compare
   * @param n2 Second number to compare
   *
   * @return true if n1 is greater than or equal to n2
   */
  boolean compareNumbers(double n1, double n2)
  {
    return n1 >= n2;
  }
}",1.0,1,8,2
328,"public class COMPARENUMBERS {
/**
   * Compare two numbers for equality.
   *
   *
   * @param n1 First number to compare
   * @param n2 Second number to compare
   *
   * @return true if n1 is equal to n2
   */
  boolean compareNumbers(double n1, double n2)
  {
    return n1 == n2;
  }
}",1.0,1,5,2
329,"public class COMPARENUMBERS {
/**
   * Compare two numbers for non-equality.
   *
   *
   * @param n1 First number to compare
   * @param n2 Second number to compare
   *
   * @return true if n1 is not equal to n2
   */
  boolean compareNumbers(double n1, double n2)
  {
    return n1 != n2;
  }
}",1.0,1,5,2
330,"public class CEILDIV {
/**
	 * Helper function.
	 * 
	 * @param a
	 *            dividend
	 * @param b
	 *            divisor
	 * @return a/b if a%b==0 else a/b+1, while <code>/</code> is meant as integer division
	 */
	public static int ceilDiv(int a, int b) {
		if (a % b == 0) {
			return a / b;
		} else {
			return a / b + 1;
		}
	}
}",2.0,3,4,4
331,"public class IMAGEFONTHEIGHT {
/**
    * Get font height.
    *
    * @param font a font previously loaded with {@link #imageloadfont},
    *             or 1 -5 for built-in fonts
    */
   public static int imagefontheight(int font) {
      if (font < 1) {
         return 8;
      } else if (font == 1) {
         return 8;
      } else if (font == 2) {
         return 13;
      } else if (font == 3) {
         return 13;
      } else if (font == 4) {
         return 16;
      } else if (font == 5) {
         return 15;
      } else {
         return 15;
      }
   }
}",7.0,2,9,14
332,"public class IMAGEFONTWIDTH {
/**
    * Get font width.
    *
    * @param font a font previously loaded with {@link #imageloadfont},
    *             or 1 -5 for built-in fonts
    */
   public static int imagefontwidth(int font) {
      if (font < 1) {
         return 5;
      } else if (font == 1) {
         return 5;
      } else if (font == 2) {
         return 6;
      } else if (font == 3) {
         return 7;
      } else if (font == 4) {
         return 8;
      } else if (font == 5) {
         return 9;
      } else {
         return 9;
      }
   }
}",7.0,2,9,14
333,"public class GREGORIANTOJD {
/**
    * Convert from a gregorian date to a julian day.
    */
   public double gregoriantojd(int month, int day, int year) {
      if (month <= 2) {
         year -= 1;
         month += 12;
      }

      long a = year / 100;
      long b = a / 4;
      long c = 2 - a + b;
      long e = (long) (365.25 * (year + 4716));
      long f = (long) (30.6001 * (month + 1));

      return (c + day + e + f - 1524.5);
   }
}",2.0,1,9,9
334,"public class ENCODE {
/**
    * Converts an integer to a printable character
    */
   private static char encode(long code) {
      code = code & 0x3f;

      if (code < 26) {
         return (char) ('a' + code);
      } else if (code < 52) {
         return (char) ('A' + code - 26);
      } else if (code < 62) {
         return (char) ('0' + code - 52);
      } else if (code == 62) {
         return '_';
      } else {
         return '-';
      }
   }
}",5.0,1,7,11
335,"public class TOUPPERCASE {
/**
    * Returns the uppercase equivalent of the caharacter
    */
   protected static char toUpperCase(char ch) {
      if (ch >= 'a' && ch <= 'z') {
         return (char) ('A' + (ch - 'a'));
      } else {
         return ch;
      }
   }
}",3.0,1,7,4
336,"public class TOUUCHAR {
/**
    * Converts an integer digit to a uuencoded char.
    */
   protected static char toUUChar(int d) {
      if (d == 0) {
         return (char) 0x60;
      } else {
         return (char) (0x20 + (d & 0x3f));
      }
   }
}",2.0,1,8,4
337,"public class YEARTODAYOFEPOCH {
/**
   * Based on the year, return the number of days since the epoch.
   */
  private long yearToDayOfEpoch(long year)
  {
    if (year > 0) {
      year -= 1601;
      return (365 * year + year / 4 - year / 100 + year / 400 -
              ((1970 - 1601) * 365 + (1970 - 1601) / 4 - 3));
    } else {
      year = 2000 - year;

      return ((2000 - 1970) * 365 + (2000 - 1970) / 4 -
              (365 * year + year / 4 - year / 100 + year / 400));
    }
  }
}",2.0,1,12,12
338,"public class TOYEAR {
/**
	 * translate 2 digit numbers to a year; for example 10 to 2010 or 50 to 1950
	 * @param year
	 * @return year matching number
	 */
	public int toYear(int year) {
		if(year<100) {
    	    if(year<30)year=year+=2000;
            else year=year+=1900;
        }
		return year;
	}
}",3.0,1,16,4
339,"public class UPDATEMODE {
/** 
     * update octal mode with a other 
     * @param existingOctal 
     * @param updateOctal 
     * @return 
     */ 
    public static int updateMode(int existingOctal, int updateOctal) { 
            int tmp=existingOctal&updateOctal; 
            return (existingOctal-tmp)+updateOctal; 
    }
}",1.0,1,6,2
340,"public class MOD {
/**
	 * Return a mod b. This differs from the % operator with respect to negative numbers.
	 * @param a the dividend
	 * @param b the divisor
	 * @return a mod b
	 */
	private static int mod(int a, int b) {
		int n = a/b;
		
		a -= n*b;
		if (a < 0)
			return a + b;
		return a;
	}
}",2.0,1,15,4
341,"public class GETCOLOR {
/**
	 * Convert a value in the range 0..1 to an RGB color.
	 * @param v a value in the range 0..1
	 * @return an RGB color
	 */
	public int getColor(float v) {
		int n = (int)(v*255);
		if (n < 0)
			n = 0;
		else if (n > 255)
			n = 255;
		return 0xff000000 | (n << 16) | (n << 8) | n;
	}
}",3.0,1,11,4
342,"public class GAIN {
/**
	 * A variant of the gamma function.
	 * @param a the number to apply gain to
	 * @param b the gain parameter. 0.5 means no change, smaller values reduce gain, larger values increase gain.
	 * @return the output value
	 */
	public static float gain(float a, float b) {
/*
		float p = (float)Math.log(1.0 - b) / (float)Math.log(0.5);

		if (a < .001)
			return 0.0f;
		else if (a > .999)
			return 1.0f;
		if (a < 0.5)
			return (float)Math.pow(2 * a, p) / 2;
		else
			return 1.0f - (float)Math.pow(2 * (1. - a), p) / 2;
*/
		float c = (1.0f/b-2.0f) * (1.0f-2.0f*a);
		if (a < 0.5)
			return a/(c+1.0f);
		return (c-a)/(c-1.0f);
	}
}",2.0,1,6,14
343,"public class SMOOTHPULSE {
/**
	 * A smoothed pulse function. A cubic function is used to smooth the step between two thresholds.
	 * @param a1 the lower threshold position for the start of the pulse
	 * @param a2 the upper threshold position for the start of the pulse
	 * @param b1 the lower threshold position for the end of the pulse
	 * @param b2 the upper threshold position for the end of the pulse
	 * @param x the input parameter
	 * @return the output value
	 */
	public static float smoothPulse(float a1, float a2, float b1, float b2, float x) {
		if (x < a1 || x >= b2)
			return 0;
		if (x >= a2) {
			if (x < b1)
				return 1.0f;
			x = (x - b1) / (b2 - b1);
			return 1.0f - (x*x * (3.0f - 2.0f*x));
		}
		x = (x - a1) / (a2 - a1);
		return x*x * (3.0f - 2.0f*x);
	}
}",5.0,1,16,7
344,"public class SMOOTHSTEP {
/**
	 * A smoothed step function. A cubic function is used to smooth the step between two thresholds.
	 * @param a the lower threshold position
	 * @param b the upper threshold position
	 * @param x the input parameter
	 * @return the output value
	 */
	public static float smoothStep(float a, float b, float x) {
		if (x < a)
			return 0;
		if (x >= b)
			return 1;
		x = (x - a) / (b - a);
		return x*x * (3 - 2*x);
	}
}",3.0,1,16,4
345,"public class CIRCLEUP {
/**
	 * A ""circle up"" function. Returns y on a unit circle given 1-x. Useful for forming bevels.
	 * @param x the input parameter in the range 0..1
	 * @return the output value
	 */
	public static float circleUp(float x) {
		x = 1-x;
		return (float)Math.sqrt(1-x*x);
	}
}",1.0,1,16,2
346,"public class MOD {
/**
	 * Return a mod b. This differs from the % operator with respect to negative numbers.
	 * @param a the dividend
	 * @param b the divisor
	 * @return a mod b
	 */
	public static double mod(double a, double b) {
		int n = (int)(a/b);
		
		a -= n*b;
		if (a < 0)
			return a + b;
		return a;
	}
}",2.0,1,15,4
347,"public class MOD {
/**
	 * Return a mod b. This differs from the % operator with respect to negative numbers.
	 * @param a the dividend
	 * @param b the divisor
	 * @return a mod b
	 */
	public static float mod(float a, float b) {
		int n = (int)(a/b);
		
		a -= n*b;
		if (a < 0)
			return a + b;
		return a;
	}
}",2.0,1,15,4
348,"public class MOD {
/**
	 * Return a mod b. This differs from the % operator with respect to negative numbers.
	 * @param a the dividend
	 * @param b the divisor
	 * @return a mod b
	 */
	public static int mod(int a, int b) {
		int n = a/b;
		
		a -= n*b;
		if (a < 0)
			return a + b;
		return a;
	}
}",2.0,1,15,4
349,"public class BILINEARINTERPOLATE {
/**
	 * Bilinear interpolation of ARGB values.
	 * @param x the X interpolation parameter 0..1
	 * @param y the y interpolation parameter 0..1
	 * @param rgb array of four ARGB values in the order NW, NE, SW, SE
	 * @return the interpolated value
	 */
	public static int bilinearInterpolate(float x, float y, int nw, int ne, int sw, int se) {
		float m0, m1;
		int a0 = (nw >> 24) & 0xff;
		int r0 = (nw >> 16) & 0xff;
		int g0 = (nw >> 8) & 0xff;
		int b0 = nw & 0xff;
		int a1 = (ne >> 24) & 0xff;
		int r1 = (ne >> 16) & 0xff;
		int g1 = (ne >> 8) & 0xff;
		int b1 = ne & 0xff;
		int a2 = (sw >> 24) & 0xff;
		int r2 = (sw >> 16) & 0xff;
		int g2 = (sw >> 8) & 0xff;
		int b2 = sw & 0xff;
		int a3 = (se >> 24) & 0xff;
		int r3 = (se >> 16) & 0xff;
		int g3 = (se >> 8) & 0xff;
		int b3 = se & 0xff;

		float cx = 1.0f-x;
		float cy = 1.0f-y;

		m0 = cx * a0 + x * a1;
		m1 = cx * a2 + x * a3;
		int a = (int)(cy * m0 + y * m1);

		m0 = cx * r0 + x * r1;
		m1 = cx * r2 + x * r3;
		int r = (int)(cy * m0 + y * m1);

		m0 = cx * g0 + x * g1;
		m1 = cx * g2 + x * g3;
		int g = (int)(cy * m0 + y * m1);

		m0 = cx * b0 + x * b1;
		m1 = cx * b2 + x * b3;
		int b = (int)(cy * m0 + y * m1);

		return (a << 24) | (r << 16) | (g << 8) | b;
	}
}",1.0,1,5,32
350,"public class BRIGHTNESSNTSC {
/**
	 * Return the NTSC gray level of an RGB value.
	 * @param rgb1 the input pixel
	 * @return the gray level (0-255)
	 */
	public static int brightnessNTSC(int rgb) {
		int r = (rgb >> 16) & 0xff;
		int g = (rgb >> 8) & 0xff;
		int b = rgb & 0xff;
		return (int)(r*0.299f + g*0.587f + b*0.114f);
	}
}",1.0,1,9,4
351,"public class CLAMP {
/**
	 * Clamp a value to the range 0..255
	 */
	public static int clamp(int c) {
		if (c < 0)
			return 0;
		if (c > 255)
			return 255;
		return c;
	}
}",3.0,1,7,3
352,"public class COMPARE {
/** 
	 * compares a double with a double 
	 * @param left 
	 * @param right 
	 * @return difference as int
	 */ 
    public static int compare(double left, double right) { 
    	if((left)<(right))return -1; 
        else if((left)>(right))return 1; 
        else return 0;
    }
}",3.0,1,6,3
353,"public class COMPARE {
/** 
	 * compares a boolean with a boolean 
	 * @param left 
	 * @param right 
	 * @return difference as int
	 */ 
	public static int compare(boolean left, boolean right) { 
			if(left)return right?0:1; 
			return right?-1:0; 
	}
}",2.0,1,6,2
354,"public class Z {
/**
     * used in computing checksums, doubles and adds resulting digits.
     *
     * @param digit the digit to be doubled, and digit summed.
     *
     * @return // 0->0 1->2 2->4 3->6 4->8 5->1 6->3 7->5 8->7 9->9
     */
    private static int z( int digit )	{
        if ( digit == 0 )	{
            return 0;
        }
        return ( digit * 2 - 1 ) % 9 + 1;
    }
}",2.0,1,9,3
355,"public class ISCSSSPACE {
/**
     * Tests whether the given character is a valid space.
     */
    public static boolean isCSSSpace(char c) {
      return (c <= 0x0020) &&
             (((((1L << '\t') |
                 (1L << '\n') |
                 (1L << '\r') |
                 (1L << '\f') |
                 (1L << 0x0020)) >> c) & 1L) != 0);
    }
}",2.0,1,9,4
356,"public class GETMSBOFFSET {
/**
 * Gets the offset of the most significant bit for
 * the given mask.
 */
static int getMSBOffset(int mask) {
    for (int i = 31; i >= 0; i--) {
        if (((mask >> i) & 0x1) != 0) return i + 1;
    }
    return 0;
}
}",3.0,2,12,3
357,"public class GETCHANNELSHIFT {
/**
 * Computes the required channel shift from a mask.
 */
static int getChannelShift(int mask) {
    if (mask == 0) return 0;
    int i;
    for (i = 0; ((mask & 1) == 0) && (i < 32); ++i) {
        mask >>>= 1;
    }
    return i;
}
}",4.0,1,8,5
358,"public class GETCHANNELWIDTH {
/**
 * Computes the required channel width (depth) from a mask.
 */
static int getChannelWidth(int mask, int shift) {
    if (mask == 0) return 0;
    int i;
    mask >>>= shift;
    for (i = shift; ((mask & 1) != 0) && (i < 32); ++i) {
        mask >>>= 1;
    }
    return i - shift;
}
}",4.0,1,9,6
359,"public class SHIFTFORMASK {
/**
 * Computes the shift value for a given mask.
 *
 * @param mask the mask to compute the shift for
 * @return the shift amount
 *
 * @see PaletteData
 */
int shiftForMask(int mask) {
    for (int i = 31; i >= 0; i--) { 
        if (((mask >> i) & 0x1) != 0) return 7 - i;
    }
    return 32;
}
}",3.0,1,8,4
360,"public class BLEND {
/**
	 * Blends two primary color components based on the provided ratio.
	 * 
	 * @param v1
	 *            first component
	 * @param v2
	 *            second component
	 * @param ratio
	 *            percentage of the first component in the blend
	 * @return
	 */
	private static int blend(int v1, int v2, int ratio) {
		int b = (ratio * v1 + (100 - ratio) * v2) / 100;
		return Math.min(255, b);
	}
}",1.0,4,22,2
361,"public class VOLTAGE_TO_INTENSITY_SRGB {
/**
     * Returns the intensity of an RGB component using the
     * sRGB gamma function.
     * 
     * @param val Value to convert.
     * @return Light intensity of the component.
     */
    double voltage_to_intensity_srgb(double val) {
        /* Handle invalid values before doing a gamma transform. */
        if (val < 0.0) {
			return 0.0;
		}
        if (val > 1.0) {
			return 1.0;
		}

        if (val <= 0.04045) {
            return val / 12.92;
        }
        return Math.pow((val + 0.055) / 1.055, 2.4);
    }
}",4.0,2,12,9
362,"public class BOXINTERSECT {
/** Tests two axis-aligned boxes for overlap. */
    private boolean boxIntersect(float left1, float right1, float top1, float bottom1, 
            float left2, float right2, float top2, float bottom2) {
        final boolean horizontalIntersection = left1 < right2 && left2 < right1;
        final boolean verticalIntersection = top1 > bottom2 && top2 > bottom1;
        final boolean intersecting = horizontalIntersection && verticalIntersection;
        return intersecting;
    }
}",4.0,1,8,12
363,"public class GETHEADERSIZE {
/**
     * Returns the size of the header for a specific version of the framebuffer adb protocol.
     * @param version the version of the protocol
     * @return the number of int that makes up the header.
     */
    public static int getHeaderSize(int version) {
        switch (version) {
            case 16: // compatibility mode
                return 3; // size, width, height
            case 1:
                return 12; // bpp, size, width, height, 4*(length, offset)
        }

        return 0;
    }
}",2.0,1,15,6
364,"public class GETMASK {
/**
     * Creates a mask value based on a length.
     * @param length
     * @return
     */
    private int getMask(int length) {
        int res = 0;
        for (int i = 0 ; i < length ; i++) {
            res = (res << 1) + 1;
        }

        return res;
    }
}",2.0,1,8,4
365,"public class PARSEBOOLEAN {
/**
	 * Parses the character value of 'Y' or 'N' into boolean value.
	 *
	 * @param value - the character to be parsed
	 * @return <code>true</code>, if value is 'Y', else <code>false</code>
	 */
	public boolean parseBoolean(char value)
	{
		boolean flag = true;
		boolean boolValue = false;
		
		while(flag)
		{
			//parses 'Y' into 'true'
			if(value == 'Y' || value == 'y')
			{
				boolValue = true;
				flag = false;
			}
		
			//parses 'N' into 'false'
			else if(value == 'N' || value == 'n')
			{
				boolValue = false;
				flag = false;
			}
		
			//validates user input
			else
			{
				System.out.println(""Invalid input. Enter (Y/N)"");
			}
		}
		
		return boolValue;
	}
}",6.0,1,11,12
366,"public class HEX2BIN {
/**
    * Convert hex digit to numerical value.
    * 
    * @param c
    *           0-9, a-f, A-F allowd.
    * @return 0-15
    * @throws IllegalArgumentException
    *            on non-hex character
    */
   public static int hex2bin(char c)
   {
      if (c >= '0' && c <= '9')
      {
         return (c - '0');
      }
      if (c >= 'A' && c <= 'F')
      {
         return (c - 'A' + 10);
      }
      if (c >= 'a' && c <= 'f')
      {
         return (c - 'a' + 10);
      }
      throw new IllegalArgumentException(""Input string may only contain hex digits, but found '"" + c + ""'"");
   }
}",7.0,3,13,8
367,"public class CEIL {
/**
    * Integer division with ceiling function.
    * 
    * @see <a href=""http://tools.ietf.org/html/rfc2898"">RFC 2898 5.2 Step 2.</a>
    * @param a
    * @param b
    * @return ceil(a/b)
    */
   protected int ceil(int a, int b)
   {
      int m = 0;
      if (a % b > 0)
      {
         m = 1;
      }
      return a / b + m;
   }
}",2.0,1,5,4
368,"public class CHARVAL {
/**
	 * Returns hex value for given char
	 */
	private static int charVal(char c) {
		return ((c >= '0') && (c <= '9')) ? (c - '0')
				: (((c >= 'A') && (c <= 'Z')) ? (c - 'A' + 10) : (c - 'a' + 10));
	}
}",3.0,1,6,3
369,"public class ROTATEBY90 {
/**
     * shift each peg to the rotated position
     *
     * @param position as long
     * @return position rotated by 90 degree
     */
    private static long rotateBy90(long position) {
        long rotatedPosition;
        rotatedPosition = ((position & (1L << 2)) << 18) | ((position & (1L << 3)) << 24) | ((position & (1L << 4)) << 30)
                | ((position & (1L << 9)) << 10) | ((position & (1L << 10)) << 16) | ((position & (1L << 11)) << 22)
                | ((position & (1L << 14)) >> 10) | ((position & (1L << 15)) >> 4) | ((position & (1L << 16)) << 2)
                | ((position & (1L << 17)) << 8) | ((position & (1L << 18)) << 14) | ((position & (1L << 19)) << 20)
                | ((position & (1L << 20)) << 26)
                | ((position & (1L << 21)) >> 18) | ((position & (1L << 22)) >> 12) | ((position & (1L << 23)) >> 6)
                | ((position & (1L << 24)))
                | ((position & (1L << 25)) << 6) | ((position & (1L << 26)) << 12) | ((position & (1L << 27)) << 18)
                | ((position & (1L << 28)) >> 26) | ((position & (1L << 29)) >> 20) | ((position & (1L << 30)) >> 14)
                | ((position & (1L << 31)) >> 8) | ((position & (1L << 32)) >> 2) | ((position & (1L << 33)) << 4)
                | ((position & (1L << 34)) << 10)
                | ((position & (1L << 37)) >> 22) | ((position & (1L << 38)) >> 16) | ((position & (1L << 39)) >> 10)
                | ((position & (1L << 44)) >> 30) | ((position & (1L << 45)) >> 24) | ((position & (1L << 46)) >> 18);
        return rotatedPosition;
    }
}",1.0,1,7,36
370,"public class MIRRORVERTICALLY {
/**
     * mirror each row separately
     *
     * @param position as long
     * @return position mirrored vertically
     */
    private static long mirrorVertically(long position) {
        long verticallyMirroredPosition;
        verticallyMirroredPosition = ((position & (1L << 2)) << 42) | ((position & (1L << 3)) << 42) | ((position & (1L << 4)) << 42);
        verticallyMirroredPosition |= ((position & (1L << 9)) << 28) | ((position & (1L << 10)) << 28) | ((position & (1L << 11)) << 28);
        verticallyMirroredPosition |= ((position & (1L << 14)) << 14) | ((position & (1L << 15)) << 14) | ((position & (1L << 16)) << 14)
                | ((position & (1L << 17)) << 14) | ((position & (1L << 18)) << 14) | ((position & (1L << 19)) << 14)
                | ((position & (1L << 20)) << 14);
        verticallyMirroredPosition |= ((position & (1L << 21))) | ((position & (1L << 22))) | ((position & (1L << 23)))
                | ((position & (1L << 24)))
                | ((position & (1L << 25))) | ((position & (1L << 26))) | ((position & (1L << 27)));
        verticallyMirroredPosition |= ((position & (1L << 28)) >> 14) | ((position & (1L << 29)) >> 14) | ((position & (1L << 30)) >> 14)
                | ((position & (1L << 31)) >> 14) | ((position & (1L << 32)) >> 14) | ((position & (1L << 33)) >> 14)
                | ((position & (1L << 34)) >> 14);
        verticallyMirroredPosition |= ((position & (1L << 37)) >> 28) | ((position & (1L << 38)) >> 28) | ((position & (1L << 39)) >> 28);
        verticallyMirroredPosition |= ((position & (1L << 44)) >> 42) | ((position & (1L << 45)) >> 42) | ((position & (1L << 46)) >> 42);
        return verticallyMirroredPosition;
    }
}",1.0,1,4,42
371,"public class ROTATEWORDLEFT {
/**
     * return the result rotating the 16 bit number in x left by y
     */
    private int rotateWordLeft(
        int x,
        int y)
    {
        x &= 0xffff;
        return (x << y) | (x >> (16 - y));
    }
}",1.0,1,13,2
372,"public class POW {
/**
     * Calculates a^b mod modulus
     */
    public static int pow(int a, int b, int modulus)
    {
        int p = 1;
        for (int i = 0; i < b; i++)
        {
            p = (p * a) % modulus;
        }
        return p;
    }
}",2.0,1,4,4
373,"public class POW {
/**
     * Calculates a^b mod modulus
     */
    public static long pow(long a, int b, long modulus)
    {
        long p = 1;
        for (int i = 0; i < b; i++)
        {
            p = (p * a) % modulus;
        }
        return p;
    }
}",2.0,1,4,4
374,"public class LNGAMMA {
/**
	 * log Gamma function: ln(gamma(alpha)) for alpha>0, accurate to 10 decimal
	 * places
	 * 
	 * @param alpha
	 *            argument
	 * @return the log of the gamma function of the given alpha
	 */
	public static double lnGamma(double alpha) {
		// Pike MC & Hill ID (1966) Algorithm 291: Logarithm of the gamma
		// function.
		// Communications of the Association for Computing Machinery, 9:684

		double x = alpha, f = 0.0, z;

		if (x < 7) {
			f = 1;
			z = x - 1;
			while (++z < 7) {
				f *= z;
			}
			x = z;
			f = -Math.log(f);
		}
		z = 1 / (x * x);

		return f
				+ (x - 0.5)
				* Math.log(x)
				- x
				+ 0.918938533204673
				+ (((-0.000595238095238 * z + 0.000793650793651) * z - 0.002777777777778)
						* z + 0.083333333333333) / x;
	}
}",3.0,3,12,16
375,"public class INCOMPLETEGAMMA {
/**
	 * Returns the incomplete gamma ratio I(x,alpha) where x is the upper limit
	 * of the integration and alpha is the shape parameter.
	 * 
	 * @param x
	 *            upper limit of integration
	 * @param alpha
	 *            shape parameter
	 * @param ln_gamma_alpha
	 *            the log gamma function for alpha
	 * @return the incomplete gamma ratio
	 */
	private static double incompleteGamma(double x, double alpha,
			double ln_gamma_alpha) {
		// (1) series expansion if (alpha>x || x<=1)
		// (2) continued fraction otherwise
		// RATNEST FORTRAN by
		// Bhattacharjee GP (1970) The incomplete gamma integral. Applied
		// Statistics,
		// 19: 285-287 (AS32)

		double accurate = 1e-8, overflow = 1e30;
		double factor, gin, rn, a, b, an, dif, term;
		double pn0, pn1, pn2, pn3, pn4, pn5;

		if (x == 0.0) {
			return 0.0;
		}
		if (x < 0.0 || alpha <= 0.0) {
			throw new IllegalArgumentException(""Arguments out of bounds"");
		}

		factor = Math.exp(alpha * Math.log(x) - x - ln_gamma_alpha);

		if (x > 1 && x >= alpha) {
			// continued fraction
			a = 1 - alpha;
			b = a + x + 1;
			term = 0;
			pn0 = 1;
			pn1 = x;
			pn2 = x + 1;
			pn3 = x * b;
			gin = pn2 / pn3;

			do {
				a++;
				b += 2;
				term++;
				an = a * term;
				pn4 = b * pn2 - an * pn0;
				pn5 = b * pn3 - an * pn1;

				if (pn5 != 0) {
					rn = pn4 / pn5;
					dif = Math.abs(gin - rn);
					if (dif <= accurate) {
						if (dif <= accurate * rn) {
							break;
						}
					}

					gin = rn;
				}
				pn0 = pn2;
				pn1 = pn3;
				pn2 = pn4;
				pn3 = pn5;
				if (Math.abs(pn4) >= overflow) {
					pn0 /= overflow;
					pn1 /= overflow;
					pn2 /= overflow;
					pn3 /= overflow;
				}
			} while (true);
			gin = 1 - factor * gin;
		} else {
			// series expansion
			gin = 1;
			term = 1;
			rn = alpha;
			do {
				rn++;
				term *= x / rn;
				gin += term;
			} while (term > accurate);
			gin *= factor / alpha;
		}
		return gin;
	}
}",12.0,5,33,53
376,"public class HYPOT {
/**
	 * Returns sqrt(a^2 + b^2) without under/overflow.
	 */
	public static double hypot(double a, double b) {
		double r;
		if (Math.abs(a) > Math.abs(b)) {
			r = b / a;
			r = Math.abs(a) * Math.sqrt(1 + r * r);
		} else if (b != 0) {
			r = a / b;
			r = Math.abs(b) * Math.sqrt(1 + r * r);
		} else {
			r = 0.0;
		}
		return r;
	}
}",3.0,1,6,10
377,"public class PDF {
/**
	 * probability density function
	 * 
	 * @param x
	 *            argument
	 * @param m
	 *            mean
	 * @param sd
	 *            standard deviation
	 * @return pdf at x
	 */
	public static double pdf(double x, double m, double sd) {
		double a = 1.0 / (Math.sqrt(2.0 * Math.PI) * sd);
		double b = -(x - m) * (x - m) / (2.0 * sd * sd);

		return a * Math.exp(b);
	}
}",1.0,4,7,3
