Parameter,Function,Test Case,ExtractedInput
(long delay),"public class Pause {
public static void pause(long delay)
    {
        try
        {
            Thread.sleep(delay);
        }
        catch (@SuppressWarnings(""unused"") final InterruptedException exception)
        {
            Thread.currentThread().interrupt();
        }
    }
}","@Test
    void testPauseInterrupted()
    {
        final Timing timing = new Timing();
        timing.start();

        final Thread thread = new Thread(() -> UtilSequence.pause(Constant.THOUSAND));
        thread.start();
        thread.interrupt();

        assertTrue(timing.elapsed() < Constant.THOUSAND, String.valueOf(timing.elapsed()));
    }",
(int value),"public class Mask {
public static int mask(int value)
    {
        return value & 0xFF;
    }
}","@Test
    void testMask()
    {
        assertEquals(255, UtilConversion.mask(255));
        assertEquals(0, UtilConversion.mask(256));
        assertEquals(1, UtilConversion.mask(257));
    }",
(boolean value),"public class BoolToInt {
public static int boolToInt(boolean value)
    {
        if (value)
        {
            return 1;
        }
        return 0;
    }
}","@Test
    void testBoolToInt()
    {
        assertEquals(0, UtilConversion.boolToInt(false));
        assertEquals(1, UtilConversion.boolToInt(true));
    }","Function: 120
BoolToInt
Spf Results Inputs: value_1_SYMINT
demo.BoolToInt.boolToInt(true)  --> Return Value: 1
demo.BoolToInt.boolToInt(false)  --> Return Value: 0"
"(int number, int length)","public class ToBinary {
public static boolean[] toBinary(int number, int length)
    {
        final boolean[] binary = new boolean[length];
        for (int i = 0; i < length; i++)
        {
            binary[length - 1 - i] = (1 << i & number) != 0;
        }
        return binary;
    }
}","@Test
    void testToBinary()
    {
        assertArrayEquals(new boolean[1], UtilConversion.toBinary(0, 1));
        assertArrayEquals(new boolean[4], UtilConversion.toBinary(0, 4));
        assertArrayEquals(new boolean[]
        {
            true
        }, UtilConversion.toBinary(1, 1));
        assertArrayEquals(new boolean[]
        {
            true, false
        }, UtilConversion.toBinary(2, 2));
    }",
"(int value, int min, int max)","public class Clamp {
public static int clamp(int value, int min, int max)
    {
        final int fixed;
        if (value < min)
        {
            fixed = min;
        }
        else if (value > max)
        {
            fixed = max;
        }
        else
        {
            fixed = value;
        }
        return fixed;
    }
}","@Test
    void testClamp()
    {
        assertEquals(0, UtilMath.clamp(-10, 0, 10));
        assertEquals(10, UtilMath.clamp(50, 0, 10));
        assertEquals(10, UtilMath.clamp(10, 0, 10));
        assertEquals(0, UtilMath.clamp(0, 0, 10));

        assertEquals(0L, UtilMath.clamp(-10L, 0L, 10L));
        assertEquals(10L, UtilMath.clamp(50L, 0L, 10L));
        assertEquals(10L, UtilMath.clamp(10L, 0L, 10L));
        assertEquals(0L, UtilMath.clamp(0L, 0L, 10L));

        assertEquals(0.0, UtilMath.clamp(-10.0, 0.0, 10.0));
        assertEquals(10.0, UtilMath.clamp(50.0, 0.0, 10.0));
        assertEquals(10.0, UtilMath.clamp(10.0, 0.0, 10.0));
        assertEquals(0.0, UtilMath.clamp(0.0, 0.0, 10.0));
    }","Function: 122
Clamp
Spf Results Inputs: value_1_SYMINT,min_2_SYMINT,max_3_SYMINT
demo.Clamp.clamp(-1,0,-9223372036854775808(don't care))  --> Return Value: 0
demo.Clamp.clamp(0,0,-1)  --> Return Value: -1
demo.Clamp.clamp(0,0,0)  --> Return Value: 0"
"(int value, int min, int max)","public class IsBetween {
public static boolean isBetween(int value, int min, int max)
    {
        return value >= min && value <= max;
    }
}","@Test
    void testIsBetween()
    {
        assertTrue(UtilMath.isBetween(0, 0, 2));
        assertTrue(UtilMath.isBetween(1, 0, 2));
        assertTrue(UtilMath.isBetween(2, 0, 2));

        assertFalse(UtilMath.isBetween(3, 0, 2));
        assertFalse(UtilMath.isBetween(-1, 0, 2));

        assertFalse(UtilMath.isBetween(1, 2, 1));

        assertTrue(UtilMath.isBetween(0.0, 0.0, 0.2));
        assertTrue(UtilMath.isBetween(0.1, 0.0, 0.2));
        assertTrue(UtilMath.isBetween(0.2, 0.0, 0.2));

        assertFalse(UtilMath.isBetween(0.3, 0.0, 0.2));
        assertFalse(UtilMath.isBetween(-0.1, 0.0, 0.2));

        assertFalse(UtilMath.isBetween(0.1, 0.2, 0.1));
    }",
"(double x1, double y1, double x2, double y2)","public class GetDistance {
public static double getDistance(double x1, double y1, double x2, double y2)
    {
        final double x = x2 - x1;
        final double y = y2 - y1;

        return StrictMath.sqrt(x * x + y * y);
    }
}","@Test
    void testDistanceLocalizable()
    {
        assertEquals(0.0, UtilMath.getDistance(Geom.createLocalizable(0.0, 0.0), Geom.createLocalizable(0.0, 0.0)));
        assertEquals(1.0, UtilMath.getDistance(Geom.createLocalizable(0.0, 0.0), Geom.createLocalizable(1.0, 0.0)));
        assertEquals(1.0, UtilMath.getDistance(Geom.createLocalizable(0.0, 0.0), Geom.createLocalizable(0.0, 1.0)));
        assertEquals(1.0, UtilMath.getDistance(Geom.createLocalizable(1.0, 0.0), Geom.createLocalizable(0.0, 0.0)));
        assertEquals(1.0, UtilMath.getDistance(Geom.createLocalizable(0.0, 1.0), Geom.createLocalizable(0.0, 0.0)));
        assertEquals(Math.sqrt(2),
                     UtilMath.getDistance(Geom.createLocalizable(1.0, 1.0), Geom.createLocalizable(2.0, 2.0)));
        assertEquals(2.0, UtilMath.getDistance(Geom.createLocalizable(4.0, 6.0), Geom.createLocalizable(6.0, 6.0)));
        assertEquals(2.0, UtilMath.getDistance(Geom.createLocalizable(-4.0, -6.0), Geom.createLocalizable(-6.0, -6.0)));
    }",
"(double x1, double y1, double x2, double y2)","public class GetDistance {
public static double getDistance(double x1, double y1, double x2, double y2)
    {
        final double x = x2 - x1;
        final double y = y2 - y1;

        return StrictMath.sqrt(x * x + y * y);
    }
}","@Test
    void testDistancePointPoint()
    {
        assertEquals(0.0, UtilMath.getDistance(0.0, 0.0, 0.0, 0.0));
        assertEquals(1.0, UtilMath.getDistance(0.0, 0.0, 1.0, 0.0));
        assertEquals(1.0, UtilMath.getDistance(0.0, 0.0, 0.0, 1.0));
        assertEquals(1.0, UtilMath.getDistance(1.0, 0.0, 0.0, 0.0));
        assertEquals(1.0, UtilMath.getDistance(0.0, 1.0, 0.0, 0.0));
        assertEquals(Math.sqrt(2), UtilMath.getDistance(1.0, 1.0, 2.0, 2.0));
        assertEquals(2.0, UtilMath.getDistance(4.0, 6.0, 6.0, 6.0));
        assertEquals(2.0, UtilMath.getDistance(-4.0, -6.0, -6.0, -6.0));
    }",
"(double x1, double y1, double x2, double y2)","public class GetDistance {
public static double getDistance(double x1, double y1, double x2, double y2)
    {
        final double x = x2 - x1;
        final double y = y2 - y1;

        return StrictMath.sqrt(x * x + y * y);
    }
}","@Test
    void testDistancePointArea()
    {
        assertEquals(0.0, UtilMath.getDistance(0.0, 0.0, 0.0, 0.0, 0, 0));
        assertEquals(Math.sqrt(2), UtilMath.getDistance(1.0, 1.0, 2.0, 2.0, 1, 1));
        assertEquals(1.0, UtilMath.getDistance(1.0, 1.0, 2.0, 2.0, 0, 1));
        assertEquals(1.0, UtilMath.getDistance(1.0, 1.0, 2.0, 2.0, 1, 0));
        assertEquals(2.0, UtilMath.getDistance(4.0, 6.0, 6.0, 6.0, 2, 2));
        assertEquals(3.0, UtilMath.getDistance(-2.0, -6.0, -6.0, -6.0, 2, 2));
        assertEquals(Math.sqrt(2), UtilMath.getDistance(3.0, 3.0, 0.0, 0.0, 3, 3));
    }",
"(int value, int min, int max)","public class Wrap {
public static int wrap(int value, int min, int max)
    {
        int newValue = value;
        final int step = max - min;

        if (newValue >= max)
        {
            while (newValue >= max)
            {
                newValue -= step;
            }
        }
        else if (newValue < min)
        {
            while (newValue < min)
            {
                newValue += step;
            }
        }
        return newValue;
    }
}","@Test
    void testWrap()
    {
        assertEquals(0, UtilMath.wrap(360, 0, 360));
        assertEquals(359, UtilMath.wrap(-1, 0, 360));
        assertEquals(180, UtilMath.wrap(180, 0, 360));
    }",
"(double value, double min, double max)","public class WrapDouble {
public static double wrapDouble(double value, double min, double max)
    {
        double newValue = value;
        final double step = max - min;

        if (Double.compare(newValue, max) >= 0)
        {
            while (Double.compare(newValue, max) >= 0)
            {
                newValue -= step;
            }
        }
        else if (newValue < min)
        {
            while (newValue < min)
            {
                newValue += step;
            }
        }
        return newValue;
    }
}","@Test
    void testWrapDouble()
    {
        assertEquals(0.0, UtilMath.wrapDouble(360.0, 0.0, 360.0));
        assertEquals(359.0, UtilMath.wrapDouble(-1.0, 0.0, 360.0));
        assertEquals(180.0, UtilMath.wrapDouble(180.0, 0.0, 360.0));
    }",
(double value),"public class GetSign {
public static int getSign(double value)
    {
        final int sign;
        if (value > 0)
        {
            sign = 1;
        }
        else if (value < 0)
        {
            sign = -1;
        }
        else
        {
            sign = 0;
        }
        return sign;
    }
}","@Test
    void testSign()
    {
        assertEquals(-1, UtilMath.getSign(-1.0));
        assertEquals(1, UtilMath.getSign(1.0));
        assertEquals(0, UtilMath.getSign(0));
    }",
"(double speed, double value)","public class GetRound {
public static double getRound(double speed, double value)
    {
        if (speed < 0)
        {
            return Math.floor(value);
        }
        return Math.ceil(value);
    }
}","@Test
    void testGetRound()
    {
        assertEquals(1.0, UtilMath.getRound(-1.0, 1.5));
        assertEquals(2.0, UtilMath.getRound(1.0, 1.5));
    }",
