Parameter,Function,Test Case,cyclomatic_complexity
(long val),"public class BitNum {
static int bitNum(long val)
    {
        int bit = 0;
        for (; val != 0L; bit++)
            val >>>= 1;
        return bit;
    }
}","@Test
    public void testBitNum()
    {
        Assert.assertEquals(Util.bitNum(0), 0);
        Assert.assertEquals(Util.bitNum(1), 1);
        Assert.assertEquals(Util.bitNum(2), 2);
        Assert.assertEquals(Util.bitNum(4), 3);
        Assert.assertEquals(Util.bitNum(8), 4);
        Assert.assertEquals(Util.bitNum(16), 5);
        Assert.assertEquals(Util.bitNum(32), 6);
        Assert.assertEquals(Util.bitNum(64), 7);
        Assert.assertEquals(Util.bitNum(128), 8);
        Assert.assertEquals(Util.bitNum(256), 9);
        Assert.assertEquals(Util.bitNum(1024), 11);
        Assert.assertEquals(Util.bitNum(65536), 17);
    }",2
(int x),"public class IsPower2 {
public static boolean isPower2(int x) {
        return x > 0 && (x & (x - 1)) == 0;
    }
}","@Test
    public void testIsPower2() {
        System.out.println(""isPower2"");
        assertEquals(false, MathEx.isPower2(-1));
        assertEquals(false, MathEx.isPower2(0));
        assertEquals(true, MathEx.isPower2(1));
        assertEquals(true, MathEx.isPower2(2));
        assertEquals(false, MathEx.isPower2(3));
        assertEquals(true, MathEx.isPower2(4));
        assertEquals(true, MathEx.isPower2(8));
        assertEquals(true, MathEx.isPower2(16));
        assertEquals(true, MathEx.isPower2(32));
        assertEquals(true, MathEx.isPower2(64));
        assertEquals(true, MathEx.isPower2(128));
        assertEquals(true, MathEx.isPower2(256));
        assertEquals(true, MathEx.isPower2(512));
        assertEquals(true, MathEx.isPower2(1024));
        assertEquals(true, MathEx.isPower2(65536));
        assertEquals(true, MathEx.isPower2(131072));
    }",2
(double x),"public class Sqr {
public static double sqr(double x) {
        return x * x;
    }
}","@Test
    public void testSqr() {
        System.out.println(""sqr"");
        assertEquals(0, MathEx.sqr(0), 1E-10);
        assertEquals(1, MathEx.sqr(1), 1E-10);
        assertEquals(4, MathEx.sqr(2), 1E-10);
        assertEquals(9, MathEx.sqr(3), 1E-10);
    }",1
(int n),"public class Factorial {
public static double factorial(int n) {
        if (n < 0) {
            throw new IllegalArgumentException(""n has to be non-negative."");
        }

        double f = 1.0;
        for (int i = 2; i <= n; i++) {
            f *= i;
        }

        return f;
    }
}","@Test
    public void testFactorial() {
        System.out.println(""factorial"");
        assertEquals(1.0, MathEx.factorial(0), 1E-7);
        assertEquals(1.0, MathEx.factorial(1), 1E-7);
        assertEquals(2.0, MathEx.factorial(2), 1E-7);
        assertEquals(6.0, MathEx.factorial(3), 1E-7);
        assertEquals(24.0, MathEx.factorial(4), 1E-7);
    }",3
"(int zoom, int tilesize)","public class Resolution {
public static double resolution(int zoom, int tilesize)
{
  if (zoom > 0)
  {
    return 180.0 / tilesize / Math.pow(2.0, zoom - 1.0);
  }

  return 0.0;
}
}","@Test
@Category(UnitTest.class)
public void resolution()
{
  for (int i = 0; i < resolutions.length; i++)
  {
    double res = TMSUtils.resolution(i + 1, ts);
    Assert.assertEquals(""Bad resolution"", resolutions[i], res, 0.000000001);
  }
}",2
"(int var, boolean sign)","public class MakeLiteral {
public static int makeLiteral(int var, boolean sign) {
        return (2 * var + (sign ? 1 : 0));
    }
}","@Test(groups = ""1s"")
    public void testMakeLiteral() throws Exception {

    }",1
(int l),"public class Negated {
public static int negated(int l) {
        return (l ^ 1);
    }
}","@Test(groups = ""1s"")
    public void testNegated() throws Exception {

    }",1
(int l),"public class Sign {
public static boolean sign(int l) {
        return (l & 1) != 0;
    }
}","@Test(groups = ""1s"")
    public void testSign() throws Exception {
        Assert.assertTrue(SatSolver.sign(3));
        Assert.assertTrue(SatSolver.sign(1));
        Assert.assertFalse(SatSolver.sign(0));
        Assert.assertFalse(SatSolver.sign(2));

        int ta = SatSolver.makeLiteral(a,true);
        Assert.assertEquals(ta, 1);
        Assert.assertTrue(SatSolver.sign(ta));

        int fa = SatSolver.makeLiteral(a,false);
        Assert.assertEquals(fa, 0);
        Assert.assertFalse(SatSolver.sign(fa));
    }",1
(int l),"public class Var {
public static int var(int l) {
        return (l >> 1);
    }
}","@Test(groups = ""1s"")
    public void testVar() throws Exception {

    }",1
"(int x, int y)","public class DivFloor {
public static int divFloor(int x, int y) {
        if (y == 0) {
            return Integer.MAX_VALUE;
        } else {
            return Math.floorDiv(x,y);
        }
    }
}","@Test(groups=""1s"", timeOut=60000)
    public void testDivFloor() throws Exception {
        Assert.assertEquals(0, MathUtils.divFloor(3,5));
        Assert.assertEquals(-1, MathUtils.divFloor(-3,5));
        Assert.assertEquals(-1, MathUtils.divFloor(3,-5));
        Assert.assertEquals(0, MathUtils.divFloor(-3,-5));
        Assert.assertEquals(-1, MathUtils.divFloor(-3,3));
        Assert.assertEquals(-1, MathUtils.divFloor(-1,3));
        Assert.assertEquals(1, MathUtils.divFloor(3,3));
        Assert.assertEquals(Integer.MAX_VALUE, MathUtils.divFloor(10,0));
    }",2
"(int x, int y)","public class SafeAdd {
public static int safeAdd(int x, int y){
        int r = x + y;
        // HD 2-12 Overflow iff both arguments have the opposite sign of the result
        if (((x ^ r) & (y ^ r)) < 0) {
            long rr = (long)x + y;
            return rr > 0 ? Integer.MAX_VALUE:Integer.MIN_VALUE;
        }
        return r;
    }
}","@Test(groups=""1s"", timeOut=60000)
    public void testSafeAdd() {
        Assert.assertEquals(MathUtils.safeAdd(1, 1), 2);
        Assert.assertEquals(MathUtils.safeAdd(Integer.MAX_VALUE, 1), Integer.MAX_VALUE);
        Assert.assertEquals(MathUtils.safeAdd(Integer.MIN_VALUE, -1), Integer.MIN_VALUE);
    }",2
"(int x, int y)","public class DivCeil {
public static int divCeil(int x, int y) {
        if (y == 0) {
            return Integer.MIN_VALUE;
        } else {
            int r = x / y;
//            // if the signs are the same and modulo not zero, round up
            if ((x ^ y) > 0 && (r * y != x)) {
                r++;
            }
            return r;
        }
    }
}","@Test(groups=""1s"", timeOut=60000)
    public void testDivCeil() throws Exception {
        Assert.assertEquals(1, MathUtils.divCeil(3,5));
        Assert.assertEquals(0, MathUtils.divCeil(-3,5));
        Assert.assertEquals(0, MathUtils.divCeil(3,-5));
        Assert.assertEquals(1, MathUtils.divCeil(-3,-5));
        Assert.assertEquals(-1, MathUtils.divCeil(-3,3));
        Assert.assertEquals(0, MathUtils.divCeil(-1,3));
        Assert.assertEquals(1, MathUtils.divCeil(3,3));
        Assert.assertEquals(Integer.MIN_VALUE, MathUtils.divCeil(10,0));
    }",4
"(int x, int y)","public class SafeSubstract {
public static int safeSubstract(int x, int y){
        int r = x - y;
        // HD 2-12 Overflow iff both arguments have the opposite sign of the result
        if (((x ^ y) & (x ^ r)) < 0) {
            long rr = (long)x - y;
            return rr > 0 ? Integer.MAX_VALUE:Integer.MIN_VALUE;
        }
        return r;
    }
}","@Test(groups=""1s"", timeOut=60000)
    public void testSafeSubstract() {
        Assert.assertEquals(MathUtils.safeSubstract(1, 1), 0);
        Assert.assertEquals(MathUtils.safeSubstract(Integer.MIN_VALUE, 1), Integer.MIN_VALUE);
        Assert.assertEquals(MathUtils.safeSubstract(Integer.MAX_VALUE, -1), Integer.MAX_VALUE);
    }",2
"(int x, int y)","public class SafeMultiply {
public static int safeMultiply(int x, int y){
        long r = (long)x * (long)y;
        // HD 2-12 Overflow iff both arguments have the opposite sign of the result
        if ((int)r != r) {
            return r > 0 ? Integer.MAX_VALUE:Integer.MIN_VALUE;
        }
        return (int)r;
    }
}","@Test(groups=""1s"", timeOut=60000)
    public void testSafeMultiply() {
        Assert.assertEquals(MathUtils.safeMultiply(1, 1), 1);
        Assert.assertEquals(MathUtils.safeMultiply(Integer.MAX_VALUE, 10), Integer.MAX_VALUE);
        Assert.assertEquals(MathUtils.safeSubstract(Integer.MIN_VALUE, 10), Integer.MIN_VALUE);
    }",2
(char charCode),"public class IsWhitespace {
public static boolean isWhitespace(char charCode) {
    return Character.isWhitespace(charCode)  ||
        Character.getType(charCode) == Character.SPACE_SEPARATOR;
  }
}","@Test
  public void testNoBreakSpace() {
    Assert.assertTrue(StringUtil.isWhitespace(0x00A0));
    Assert.assertTrue(StringUtil.isWhitespace(0x2007));
    Assert.assertTrue(StringUtil.isWhitespace(0x202F));

    Assert.assertTrue(StringUtil.isWhitespace((char) 0x00A0));
    Assert.assertTrue(StringUtil.isWhitespace((char) 0x2007));
    Assert.assertTrue(StringUtil.isWhitespace((char) 0x202F));
  }",2
(int numBits),"public class NumSubnetBitsToSubnetLong {
static long numSubnetBitsToSubnetLong(int numBits) {
    return ~(0xFFFFFFFFL >> numBits) & 0xFFFFFFFFL;
  }
}","@Test
  public void numSubnetBitsToSubnetLong() {
    // Test the boundaries (0 and 32) as well as a representative sample of intermediate values.
    assertThat(Ip.numSubnetBitsToSubnetLong(0), equalTo(0L));
    assertThat(Ip.numSubnetBitsToSubnetLong(4), equalTo(0xF0000000L));
    assertThat(Ip.numSubnetBitsToSubnetLong(17), equalTo(0xFFFF8000L));
    assertThat(Ip.numSubnetBitsToSubnetLong(31), equalTo(0xFFFFFFFEL));
    assertThat(Ip.numSubnetBitsToSubnetLong(32), equalTo(0xFFFFFFFFL));
  }",1
"(double value, int maxValue)","public class NormalizeDegreeValue {
public static double normalizeDegreeValue(double value, int maxValue) {
        int range = 2 * maxValue;

        if (value > 0) {

            value = (value + maxValue - 1) % range;

            if (value < 0) {
                value += range;
            }

            return (value - maxValue + 1);
        } else {
            value = (value + maxValue) % range;

            if (value < 0) {
                value += range;
            }

            return (value - maxValue);
        }
    }
}","@Test
    public void testNormalizeDegreeValue() {

        double value1 = TileFactory.normalizeDegreeValue(-210, 180);
        Assert.assertEquals(150, value1, 0.00001);
        double value2 = TileFactory.normalizeDegreeValue(-91, 90);
        Assert.assertEquals(89, value2, 0.00001);

        double value3 = TileFactory.normalizeDegreeValue(210, 180);
        Assert.assertEquals(-150, value3, 0.00001);
        double value4 = TileFactory.normalizeDegreeValue(91, 90);
        Assert.assertEquals(-89, value4, 0.00001);
    }",4
"(int beginIndex, int endIndex)","public class GetMiddleIndex {
static public int getMiddleIndex(int beginIndex, int endIndex)
    {
        return beginIndex + (endIndex - beginIndex) / 2;
    }
}","@Test
    void getMiddleIndexTest()
    {
        assertEquals(5, Utils.getMiddleIndex(0, 10));
    }",1
"(long n, double p)","public class OptimalNumOfBits {
static long optimalNumOfBits(long n, double p) {
    if (p == 0) {
      p = Double.MIN_VALUE;
    }
    return (long) (-n * Math.log(p) / (Math.log(2) * Math.log(2)));
  }
}","@Test
  public void testBloomNumBits() {
    assertEquals(0, Bloom1Filter.optimalNumOfBits(0, 0));
    assertEquals(1549, Bloom1Filter.optimalNumOfBits(1, 0));
    assertEquals(0, Bloom1Filter.optimalNumOfBits(0, 1));
    assertEquals(0, Bloom1Filter.optimalNumOfBits(1, 1));
    assertEquals(7, Bloom1Filter.optimalNumOfBits(1, 0.03));
    assertEquals(72, Bloom1Filter.optimalNumOfBits(10, 0.03));
    assertEquals(729, Bloom1Filter.optimalNumOfBits(100, 0.03));
    assertEquals(7298, Bloom1Filter.optimalNumOfBits(1000, 0.03));
    assertEquals(72984, Bloom1Filter.optimalNumOfBits(10000, 0.03));
    assertEquals(729844, Bloom1Filter.optimalNumOfBits(100000, 0.03));
    assertEquals(7298440, Bloom1Filter.optimalNumOfBits(1000000, 0.03));
    assertEquals(6235224, Bloom1Filter.optimalNumOfBits(1000000, 0.05));
  }",2
"(long n, double p)","public class OptimalNumOfBits {
static int optimalNumOfBits(long n, double p) {
    if (p == 0) {
      p = Double.MIN_VALUE;
    }
    return (int) (-n * Math.log(p) / (Math.log(2) * Math.log(2)));
  }
}","@Test
  public void testBloomNumBits() {
    assertEquals(0, BloomFilter.optimalNumOfBits(0, 0));
    assertEquals(1549, BloomFilter.optimalNumOfBits(1, 0));
    assertEquals(0, BloomFilter.optimalNumOfBits(0, 1));
    assertEquals(0, BloomFilter.optimalNumOfBits(1, 1));
    assertEquals(7, BloomFilter.optimalNumOfBits(1, 0.03));
    assertEquals(72, BloomFilter.optimalNumOfBits(10, 0.03));
    assertEquals(729, BloomFilter.optimalNumOfBits(100, 0.03));
    assertEquals(7298, BloomFilter.optimalNumOfBits(1000, 0.03));
    assertEquals(72984, BloomFilter.optimalNumOfBits(10000, 0.03));
    assertEquals(729844, BloomFilter.optimalNumOfBits(100000, 0.03));
    assertEquals(7298440, BloomFilter.optimalNumOfBits(1000000, 0.03));
    assertEquals(6235224, BloomFilter.optimalNumOfBits(1000000, 0.05));
  }",2
(int smallBlind),"public class GetBigBlind {
public static int getBigBlind(int smallBlind)
    {
        return smallBlind * 2;
    }
}","@Test
    public void testNextBigBlind()
    {
        assertEquals(20, TournamentTools.getBigBlind(10));
    }",1
(int maxSmallBlind),"public class GetNextSmallBlind {
public static int getNextSmallBlind(int maxSmallBlind)
    {
        if (maxSmallBlind == 0)
        {
            return 100;
        }
        int result = maxSmallBlind;
        int exp = 0;
        while(result % 10 == 0)
        {
            exp++;
            result /= 10;
        }
        if (result == 2)
        {
            result = 5;
        }
        else
        {
            result *= 2;
        }
        while(exp > 0)
        {
            exp--;
            result *= 10;
        }
        return result;
    }
}","@Test
    public void testNextSmallBlind()
    {
        assertEquals(20, TournamentTools.getNextSmallBlind(10));
        assertEquals(200, TournamentTools.getNextSmallBlind(100));
        assertEquals(500, TournamentTools.getNextSmallBlind(200));
        assertEquals(1000, TournamentTools.getNextSmallBlind(500));
        assertEquals(2000, TournamentTools.getNextSmallBlind(1000));
    }",5
"(long cuboidToCheck, long parentCuboid)","public class IsDescendant {
public static boolean isDescendant(long cuboidToCheck, long parentCuboid) {
        return (cuboidToCheck & parentCuboid) == cuboidToCheck;
    }
}","@Test
    public void isDescendantTest() {
        Assert.assertTrue(CuboidStatsUtil.isDescendant(6L, 239L));
        Assert.assertTrue(!CuboidStatsUtil.isDescendant(4L, 50L));
    }",1
"(byte _byte, int position)","public class GetBit {
public static int getBit(byte _byte, int position) {
        position--;
        return _byte >> position & 1;
    }
}","@Test
    public void testGetBit() throws Exception {
        assertEquals(0, ArraysUtil.getBit((byte) 126, 0));
        assertEquals(0, ArraysUtil.getBit((byte) 119, 4));
        assertEquals(1, ArraysUtil.getBit((byte) 126, 6));
    }",1
(int value),"public class Int2bytes {
public static byte[] int2bytes(int value) {
        return new byte[] {(byte) (value >>> 24), (byte) (value >>> 16), (byte) (value >>> 8), (byte) value};
    }
}","@Test
    public void testInt2bytes() throws Exception {
        assertArrayEquals(new byte[] {0, 14, -89, -24}, ArraysUtil.int2bytes(960488));
        assertArrayEquals(new byte[] {0, 0, 0, 127}, ArraysUtil.int2bytes(127));
        assertArrayEquals(new byte[] {0, 39, 17, -24}, ArraysUtil.int2bytes(2560488));
    }",1
"(byte _byte, int position, boolean value)","public class SetBit {
public static byte setBit(byte _byte, int position, boolean value) {
        position--;
        return (byte) (value ? _byte | 1 << position : _byte & ~(1 << position));
    }
}","@Test
    public void testSetBit() throws Exception {
        assertEquals(81, ArraysUtil.setBit((byte) 80, 1, true));
        assertEquals(119, ArraysUtil.setBit((byte) 127, 4, false));
    }",1
(byte x),"public class ReverseBitsByte {
public static byte reverseBitsByte(byte x) {
        int intSize = 8;
        byte y = 0;
        for (int position = intSize - 1; position >= 0; position--) {
            y += ((x & 1) << position);
            x >>= 1;
        }
        return y;
    }
}","@Test
    public void testReverseBitsByte() throws Exception {
        assertEquals(0, ArraysUtil.reverseBitsByte((byte) 0));
        assertEquals(-1, ArraysUtil.reverseBitsByte((byte) 255));
        assertEquals(12, ArraysUtil.reverseBitsByte((byte) 48));
        assertEquals(125, ArraysUtil.reverseBitsByte((byte) 190));
    }",2
(int prefixLength),"public class GetBytesLength {
public static int getBytesLength(int prefixLength) {
        return (int) Math.ceil((0xFF & prefixLength) / 8.0);
    }
}","@Test
    public void testGetBytesLength() throws Exception {
        assertEquals(1, IpPrefixConv.getBytesLength(1));
        assertEquals(16, IpPrefixConv.getBytesLength(127));
    }",1
"(long value, int base, int newBase)","public class ConvertBase {
public static long convertBase(long value, int base, int newBase){
        long result = value;
        if (newBase!=base){
            result = Double.valueOf((double) value * Math.pow(10, base - newBase)).longValue();
        }
        return result;
    }
}","@Test
    public void testConvertBase() throws Exception {
        long result = Format.convertBase(16,0,1);
        Assert.assertTrue(result==1);

        result = Format.convertBase(16,1,0);
        Assert.assertTrue(result==160);

        result = Format.convertBase(16,0,2);
        Assert.assertTrue(result==0);

        result = Format.convertBase(16,1,1);
        Assert.assertTrue(result==16);
    }",2
(long cents),"public class FromCentsToEuro {
public static double fromCentsToEuro(long cents) {
        return ((double) cents / 100.0);
    }
}","@Test
    public void testCentsToEuro() {
        long cents = 100;
        double euro = PriceHelper.fromCentsToEuro(cents);
        assertThat(euro).isEqualTo(1.0);
    }",1
"(int rowNum, int colNum)","public class CellToA1 {
public static String cellToA1(int rowNum, int colNum) {
    // To store result (Excel column name)
    StringBuilder colLabel = new StringBuilder();

    while (colNum > 0) {
      // Find remainder
      int rem = colNum % 26;

      // If remainder is 0, then a
      // 'Z' must be there in output
      if (rem == 0) {
        colLabel.append(""Z"");
        colNum = (colNum / 26) - 1;
      } else {
        colLabel.append((char) ((rem - 1) + 'A'));
        colNum = colNum / 26;
      }
    }

    // Reverse the string and print result
    return colLabel.reverse().toString() + rowNum;
  }
}","@Test
  public void testA1Notation() {
    String a1 = IOHelper.cellToA1(1, 1);
    assertEquals(""A1"", a1);

    a1 = IOHelper.cellToA1(100, 200);
    assertEquals(""GR100"", a1);

    a1 = IOHelper.cellToA1(39, 8459);
    assertEquals(""LMI39"", a1);
  }",3
(boolean value),"public class EncodeBoolean {
public static byte[] encodeBoolean(boolean value) {
        return value ? new byte[] { 1 } : new byte[] { 0 };
    }
}","@Test
    public void encode_boolean() {
        byte[] encoded = TlvEncoder.encodeBoolean(true);

        // check value
        assertEquals(1, encoded.length);
        assertEquals(1, encoded[0]);
    }",1
(char a),"public class IsAlpha {
public static boolean isAlpha(char a) {
    return ((a >= 'a' && a <= 'z') || (a >= 'A' && a <= 'Z'));
  }
}","@Test
  public void testCharUtilsIsAlpha() {
    char[] arr = { 'a', 'Z', 'f', 'X' };
    for (char a : arr) {
      Assert.assertTrue(CharUtils.isAlpha(a));
    }

    char[] arr2 = { '0', '9', '[', '~' };
    for (char a : arr2) {
      Assert.assertFalse(CharUtils.isAlpha(a));
    }
  }",4
(char a),"public class IsHex {
public static boolean isHex(char a) {
    return (a >= '0' && a <= '9') || (a >= 'a' && a <= 'f') || (a >= 'A' && a <= 'F');
  }
}","@Test
  public void testCharUtilsIsHex() {
    char[] arr = { 'a', 'A', '0', '9' };
    for (char a : arr) {
      Assert.assertTrue(CharUtils.isHex(a));
    }

    char[] arr2 = { '~', ';', 'Z', 'g' };
    for (char a : arr2) {
      Assert.assertFalse(CharUtils.isHex(a));
    }
  }",6
(char a),"public class IsNumeric {
public static boolean isNumeric(char a) {
    return a >= '0' && a <= '9';
  }
}","@Test
  public void testCharUtilsIsNumeric() {
    char[] arr = { '0', '4', '6', '9' };
    for (char a : arr) {
      Assert.assertTrue(CharUtils.isNumeric(a));
    }

    char[] arr2 = { 'a', '~', 'A', 0 };
    for (char a : arr2) {
      Assert.assertFalse(CharUtils.isNumeric(a));
    }
  }",2
"(double base, double n)","public class Magnitude {
public static double magnitude(double base, double n) {
		double logN = Math.log(Math.abs(n))/Math.log(base);
		return Math.signum(n) * Math.pow(base, Math.floor(logN));
	}
}","@Test
	public void testMagnitude() {
		assertEquals( -0.01, MathUtils.magnitude(10.0,  -0.05), DELTA);
		assertEquals(  0.01, MathUtils.magnitude(10.0,   0.05), DELTA);
		assertEquals(  1.00, MathUtils.magnitude(10.0,   3.14), DELTA);
		assertEquals( 10.00, MathUtils.magnitude(10.0,  54.32), DELTA);
		assertEquals(100.00, MathUtils.magnitude(10.0, 123.45), DELTA);
	}",1
"(double a, double b, double delta)","public class AlmostEqual {
public static boolean almostEqual(double a, double b, double delta) {
		return Math.abs(a - b) <= delta;
	}
}","@Test
	public void testAlmostEqual() {
		double delta = 1e-5;
		assertTrue(MathUtils.almostEqual(1.0, 1.0, delta));
		assertFalse(MathUtils.almostEqual(1.0, 2.0, delta));
		assertTrue(MathUtils.almostEqual(1.0, 1.0 + 0.5*delta, delta));
		assertFalse(MathUtils.almostEqual(1.0, 1.0 + 2.0*delta, delta));
	}",1
"(double a, double precision)","public class Round {
public static double round(double a, double precision) {
		if (precision == 0.0) {
			return 0.0;
		}
		return Math.round(a/precision) * precision;
	}
}","@Test
	public void testRound() {
		assertEquals(1.0, MathUtils.round(1.0/1.0, 1e-1), DELTA);
		assertEquals(0.7, MathUtils.round(2.0/3.0, 1e-1), DELTA);
		assertEquals(0.5, MathUtils.round(1.0/2.0, 1e-1), DELTA);
		assertEquals(0.3, MathUtils.round(1.0/3.0, 1e-1), DELTA);
		assertEquals(0.1, MathUtils.round(1.0/9.0, 1e-1), DELTA);
		assertEquals(1.00, MathUtils.round(1.0/1.0, 1e-2), DELTA);
		assertEquals(0.67, MathUtils.round(2.0/3.0, 1e-2), DELTA);
		assertEquals(0.50, MathUtils.round(1.0/2.0, 1e-2), DELTA);
		assertEquals(0.33, MathUtils.round(1.0/3.0, 1e-2), DELTA);
		assertEquals(0.11, MathUtils.round(1.0/9.0, 1e-2), DELTA);
		// Test with precision 0.0
		assertEquals(0.0, MathUtils.round(1.0, 0.0), DELTA);
	}",2
"(double a, double precision)","public class Ceil {
public static double ceil(double a, double precision) {
		if (precision == 0.0) {
			return 0.0;
		}
		return Math.ceil(a/precision) * precision;
	}
}","@Test
	public void testCeil() {
		assertEquals(1.0, MathUtils.ceil(1.0/1.0, 1e-1), DELTA);
		assertEquals(0.7, MathUtils.ceil(2.0/3.0, 1e-1), DELTA);
		assertEquals(0.5, MathUtils.ceil(1.0/2.0, 1e-1), DELTA);
		assertEquals(0.4, MathUtils.ceil(1.0/3.0, 1e-1), DELTA);
		assertEquals(0.2, MathUtils.ceil(1.0/9.0, 1e-1), DELTA);
		assertEquals(1.00, MathUtils.ceil(1.0/1.0, 1e-2), DELTA);
		assertEquals(0.67, MathUtils.ceil(2.0/3.0, 1e-2), DELTA);
		assertEquals(0.50, MathUtils.ceil(1.0/2.0, 1e-2), DELTA);
		assertEquals(0.34, MathUtils.ceil(1.0/3.0, 1e-2), DELTA);
		assertEquals(0.12, MathUtils.ceil(1.0/9.0, 1e-2), DELTA);
		// Test with precision 0.0
		assertEquals(0.0, MathUtils.ceil(1.0, 0.0), DELTA);
	}",2
"(double a, double precision)","public class Floor {
public static double floor(double a, double precision) {
		if (precision == 0.0) {
			return 0.0;
		}
		return Math.floor(a/precision) * precision;
	}
}","@Test
	public void testFloor() {
		assertEquals(1.0, MathUtils.floor(1.0/1.0, 1e-1), DELTA);
		assertEquals(0.6, MathUtils.floor(2.0/3.0, 1e-1), DELTA);
		assertEquals(0.5, MathUtils.floor(1.0/2.0, 1e-1), DELTA);
		assertEquals(0.3, MathUtils.floor(1.0/3.0, 1e-1), DELTA);
		assertEquals(0.1, MathUtils.floor(1.0/9.0, 1e-1), DELTA);
		assertEquals(1.00, MathUtils.floor(1.0/1.0, 1e-2), DELTA);
		assertEquals(0.66, MathUtils.floor(2.0/3.0, 1e-2), DELTA);
		assertEquals(0.50, MathUtils.floor(1.0/2.0, 1e-2), DELTA);
		assertEquals(0.33, MathUtils.floor(1.0/3.0, 1e-2), DELTA);
		assertEquals(0.11, MathUtils.floor(1.0/9.0, 1e-2), DELTA);
		// Test with precision 0.0
		assertEquals(0.0, MathUtils.floor(1.0, 0.0), DELTA);
	}",2
(char ch),"public class IsSpace {
public static boolean isSpace(char ch) {
    return Character.isSpaceChar(ch) || (ch == '\t') || (ch == '\n');
  }
}","@Test
  public void isSpaceCharRecognizedTabs() {
    assertTrue(""tab not recognized as space"", ParseCtxt.isSpace('\t'));
  }",3
"(long size, int blockSize)","public class RoundUp {
public static long roundUp(long size, int blockSize) {
        return ((size + blockSize - 1) / blockSize) * blockSize;
    }
}","@Test
	public void testRoundUp() {
        assertEquals(0, roundUp(0, 16));
        assertEquals(16, roundUp(1, 16));
        assertEquals(16, roundUp(16, 16));
        assertEquals(32, roundUp(17, 16));
    }",1
(char ch),"public class IsKanji {
public static boolean isKanji(char ch) {
        return (ch >= 19968) && (ch <= 40864);
    }
}","@Test
    public void testKanji() {
        assertTrue(KanjiUtils.isKanji('艦'));
        assertFalse(KanjiUtils.isKanji('か'));
        assertFalse(KanjiUtils.isKanji('キ'));
        assertFalse(KanjiUtils.isKanji('ー'));
        assertFalse(KanjiUtils.isKanji('っ'));
        assertFalse(KanjiUtils.isKanji('ゃ'));
        assertFalse(KanjiUtils.isKanji('ゅ'));
        assertFalse(KanjiUtils.isKanji('ょ'));
        assertFalse(KanjiUtils.isKanji('ャ'));
        assertFalse(KanjiUtils.isKanji('ュ'));
        assertFalse(KanjiUtils.isKanji('ョ'));
    }",2
(char multiplierChar),"public class GetMultiplier {
public long getMultiplier(char multiplierChar) {
    long multiplier = 1;
    multiplierChar = Character.toLowerCase(multiplierChar);
    switch (multiplierChar) {
      case 't':
        multiplier = multiplier * 1024;
      case 'g':
        multiplier = multiplier * 1024;
      case 'm':
        multiplier = multiplier * 1024;
      case 'k':
        multiplier = multiplier * 1024;
        break;
    }
    return multiplier;
  }
}","@Test (dataProvider = ""testGetMultiplier"")
  public void testGetMultiplier(char c, long multiplier) throws Exception {
    FileSize fs = new FileSize(1);
    Assert.assertEquals(fs.getMultiplier(c), multiplier);
  }",2
"(double oldAvg, double oldCount, double newValue)","public class GetCumulativeMovingAverage {
public static double getCumulativeMovingAverage(double oldAvg, double oldCount, double newValue) {
        return (newValue + (oldCount * oldAvg)) / (oldCount + 1);
    }
}","@Test
    public void testGetCumulativeMovingAverage() {
        double oldAvg = 0.0;
        double oldCount = 0.0;
        double newValue = 10.0;
        double expResult = 10.0;
        double result = MathUtil.getCumulativeMovingAverage(oldAvg, oldCount, newValue);
        assertEquals(expResult, result, 0.00000001);
        oldAvg = result;
        oldCount++;
        newValue = 16.0;
        expResult = 13.0;
        result = MathUtil.getCumulativeMovingAverage(oldAvg, oldCount, newValue);
        assertEquals(expResult, result, 0.00000001);
        oldAvg = result;
        oldCount++;
        newValue = 16.0;
        expResult = 14.0;
        result = MathUtil.getCumulativeMovingAverage(oldAvg, oldCount, newValue);
        assertEquals(expResult, result, 0.00000001);
        oldAvg = result;
        oldCount++;
        newValue = 6.0;
        expResult = 12.0;
        result = MathUtil.getCumulativeMovingAverage(oldAvg, oldCount, newValue);
        assertEquals(expResult, result, 0.00000001);
    }",1
(double lambda),"public class Exp {
public static double exp(double lambda) {
        return -Math.log(1 - Math.random()) / lambda;
    }
}","@Test
    public void testExp_1()
            throws Exception {
        double lambda = 1.0;

        double result = StdRandom.exp(lambda);

    }",1
"(int num1, int num2)","public class Sum {
public int sum(int num1, int num2){
		return num1 + num2;
	}
}","@Test
	public void testSum(){
		//calc = new Calculator();
		assertEquals(777, calc.sum(666, 111));
	}",1
"(int num1, int num2)","public class StaticSum {
public static int staticSum(int num1, int num2){
		return num1 + num2;
	}
}","@Test
	public void testStaticSum(){
		//calc = new Calculator();
		assertEquals(777, Calculator.staticSum(666, 111));
	}",1
