Parameter,Function,Test Case
(boolean isVisible),"class setRepeatNotificationVisibility {
@Override
    public void setRepeatNotificationVisibility(boolean isVisible) {
        if (isVisible) {
            view.showRepeatNotificationDiv();
        } else {
            view.hideRepeatNotificationDiv();
        }
    }
}","@Test
    public void testHideRepeatNotification() {
        presenter.setRepeatNotificationVisibility(false);
        verify(view).hideRepeatNotificationDiv();
        verify(view, never()).showRepeatNotificationDiv();
    }"
"(double x, double y, double width, double height)","class setToOrthographic2D {
@NonNull
    public Matrix4 setToOrthographic2D(double x, double y, double width, double height) {
        return setToOrthographic(x, x + width, y, y + height, 0, 1);
    }
}","@Test
    public void testSetToOrthographic2D() {
        final double[] expected = new double[]{
                0.001953125, 0d, 0d, 0d,
                0d, 0.00390625, 0d, 0d,
                0d, 0d, -2d, 0d,
                -1d, -1d, -1d, 1d
        };
        final Matrix4 m = new Matrix4();
        final Matrix4 out = m.setToOrthographic2D(0d, 0d, 1024d, 512d);
        assertNotNull(out);
        assertTrue(out == m);
        final double[] result = m.getDoubleValues();
        assertNotNull(result);
        for (int i = 0; i < expected.length; ++i) {
            assertEquals(""Result: "" + Arrays.toString(result) + "" Expected: "" + Arrays.toString(expected),
                    expected[i], result[i], 1e-14);
        }
    }"
"(double x, double y, double width, double height)","class getImageData {
public ImageData getImageData(double x, double y, double width, double height) {
        return delegate.getImageData(x, y, width, height);
    }
}","@Test
    public void getImageData() {
        c2SContext2D.getImageData(1, 1, 1, 1);
        verify(c2S).getImageData(1, 1, 1, 1);
    }"
(boolean save),"class copy {
public void copy(boolean save) {
        if (save) {
            synchronizeFormLayout();
        }
        copyPopUpPresenter.show(versionRecordManager.getPathToLatest(), assetUpdateValidator, getCopyCommand(save));
    }
}","@Test
    public void testSafeCopyNotDirty() {
        FormEditorPresenter presenterSpy = triggerSafeCopy(false, false);

        verify(view, never()).showSavePopup(any(Path.class), any(Command.class), any(Command.class));

        verify(presenterSpy).copy(eq(false));
    }"
(int maxLength),"class uuidVariableParts {
public String uuidVariableParts(int maxLength) {
        return uuidVariableParts(maxLength, randomUuid());
    }
}","@Test
    public void testGenerateUuidVariablePartWhenLengthShorter() {
        String password = underTest.uuidVariableParts(15, UUID_STRING);

        assertEquals(""abcdefghijkl234"", password);
    }"
(int maxLength),"class prefixTermGenerator {
public static IndexTermGenerator<String> prefixTermGenerator(int maxLength) {
		return a -> {
			try {
				String documentText = a.getCAS().getJCas().getDocumentText();
				return documentText.substring(a.getBegin(),
						a.getBegin() + Math.min(maxLength, a.getEnd() - a.getBegin()));
			} catch (CASException e) {
				e.printStackTrace();
			}
			return Stream.empty();
		};
	}
}","@Test
	public void testPrefixTermGenerator() throws Exception {
		JCas cas = JCasFactory.createJCas(""de.julielab.jcore.types.jcore-all-types"");
		cas.setDocumentText(""tra 1234567"");
		Annotation a = new Annotation(cas, 4, 5);
		assertEquals(""1"", TermGenerators.prefixTermGenerator(1).asStream(a).reduce(concatentor).get());
		assertEquals(""1"", TermGenerators.prefixTermGenerator(3).asStream(a).reduce(concatentor).get());
		
		a = new Annotation(cas, 4, 9);
		assertEquals(""12345"", TermGenerators.prefixTermGenerator(5).asStream(a).reduce(concatentor).get());
	}"
"(int pageSize, int page)","class getJobSpecSummaries {
@Override
    public List<JobSpecSummary> getJobSpecSummaries(int pageSize, int page) {
        return getJobSpecSummaries(pageSize, page, """");
    }
}","@Test(expected = IllegalArgumentException.class)
    public void testGetJobSpecSummariesWithoutQueryThrowsInvalidArgumentExceptionIfPageIsNegative() throws IOException {
        final Path jobSpecsDir = Files.createTempDirectory(FilesystemJobSpecDAOTest.class.getSimpleName());
        final FilesystemJobSpecDAO filesystemJobSpecDAO = new FilesystemJobSpecDAO(jobSpecsDir);

        filesystemJobSpecDAO.getJobSpecSummaries(20, -1);
    }"
(double pixel),"class pix2tr {
public double pix2tr(double pixel) {
        return tRange1 + ((pixel - 1.0) / rsr2x);
    }
}","@Test
    public void testPix2tr() throws Exception {
        double rgTime_ACTUAL = master.pix2tr(pixel_EXPECTED);
        Assert.assertEquals(rgTime_EXPECTED, rgTime_ACTUAL, eps05);
    }"
(boolean success),"class updateStatus {
public void updateStatus(boolean success) {
        // Calculate the endpoint status
        if (success) {
            counter.rise();
        } else {
            counter.fall();
        }

        // Set status only if changed
        if (previousStatus == null || previousStatus != counter.status()) {
            endpoint.setStatus(counter.status());
            previousStatus = endpoint.getStatus();
        }
    }
}","@Test
    public void testEndpointStatus_up() {
        Endpoint endpoint = createEndpoint();
        EndpointStatusDecorator manager = new EndpointStatusDecorator(endpoint);

        manager.updateStatus(true);
        Assert.assertEquals(Endpoint.Status.UP, endpoint.getStatus());
    }"
(boolean success),"class updateStatus {
public void updateStatus(boolean success) {
        // Calculate the endpoint status
        if (success) {
            counter.rise();
        } else {
            counter.fall();
        }

        // Set status only if changed
        if (previousStatus == null || previousStatus != counter.status()) {
            endpoint.setStatus(counter.status());
            previousStatus = endpoint.getStatus();
        }
    }
}","@Test
    public void testEndpointStatus_upAfterTransitionallyDown() {
        Endpoint endpoint = createEndpoint();
        EndpointStatusDecorator manager = new EndpointStatusDecorator(endpoint);

        manager.updateStatus(true);
        manager.updateStatus(false);
        Assert.assertEquals(Endpoint.Status.TRANSITIONALLY_DOWN, endpoint.getStatus());

        manager.updateStatus(true);
        Assert.assertEquals(Endpoint.Status.UP, endpoint.getStatus());
    }"
(boolean success),"class done {
@Override
    public void done(boolean success) throws MailQueueException {
        mailQueueItem.done(success);
        if (success && mandatoryJmapMetaDataIsPresent()) {
            Optional<?> optionalRawMessageId = retrieveMessageId();
            MessageId messageId = messageIdFactory.fromString((String) optionalRawMessageId.get());
            Optional<String> username = retrieveUsername();
            if (!getMail().getAttribute(IS_DELIVERED.getName()).isPresent()) {
                try {
                    MailboxSession mailboxSession = mailboxManager.createSystemSession(Username.of(username.get()));
                    moveFromOutboxToSentWithSeenFlag(messageId, mailboxSession);
                    getMail().setAttribute(IS_DELIVERED);
                } catch (MailShouldBeInOutboxException e) {
                    LOG.info(""Message does not exist on Outbox anymore, it could have already been sent"", e);
                } catch (MailboxException e) {
                    throw new MailQueueException(e.getMessage(), e);
                }
            }
        }
    }
}","@Test
    public void doneShouldNotThrowWhenMessageIsNotInOutbox() throws Exception {
        MailboxSession mailboxSession = mailboxManager.createSystemSession(USERNAME);
        mailboxManager.createMailbox(OUTBOX_MAILBOX_PATH, mailboxSession);
        mailboxManager.createMailbox(SENT_MAILBOX_PATH, mailboxSession);
        MessageManager messageManager = mailboxManager.getMailbox(SENT_MAILBOX_PATH, mailboxSession);
        ComposedMessageId sentMessageId = messageManager.appendMessage(AppendCommand.from(message), mailboxSession).getId();
        mail.setAttribute(messageIdAttribute(sentMessageId.getMessageId().serialize()));
        mail.setAttribute(USERNAME_ATTRIBUTE);
        
        testee.done(true);
    }"
(boolean success),"class updateStatus {
public void updateStatus(boolean success) {
        // Calculate the endpoint status
        if (success) {
            counter.rise();
        } else {
            counter.fall();
        }

        // Set status only if changed
        if (previousStatus == null || previousStatus != counter.status()) {
            endpoint.setStatus(counter.status());
            previousStatus = endpoint.getStatus();
        }
    }
}","@Test
    public void testEndpointStatus_downAfterTransitionallyUp() {
        Endpoint endpoint = createEndpoint();
        EndpointStatusDecorator manager = new EndpointStatusDecorator(endpoint);

        manager.updateStatus(false);
        manager.updateStatus(false);
        manager.updateStatus(false);
        Assert.assertEquals(Endpoint.Status.DOWN, endpoint.getStatus());

        manager.updateStatus(true);
        Assert.assertEquals(Endpoint.Status.TRANSITIONALLY_UP, endpoint.getStatus());
    }"
(int nDataUnits),"class getPackedLength {
@Override
    public int getPackedLength(int nDataUnits)
    {
        return nDataUnits;
    }
}","@Test
    public void testGetPackedLength() throws Exception {
        assertEquals(3, inter.getPackedLength(3));
    }"
"(long l, int len)","class formatAmount {
public static String formatAmount(long l, int len) throws ISOException {
        String buf = Long.toString(l);
        if (l < 100)
            buf = zeropad(buf, 3);
        StringBuilder s = new StringBuilder(padleft (buf, len-1, ' ') );
        s.insert(len-3, '.');
        return s.toString();
    }
}","@Test
    public void testFormatAmount2() throws Throwable {
        String result = ISOUtil.formatAmount(100L, 100);
        assertEquals(
                ""                                                                                                1.00"",
                result, ""result"");
    }"
(double convRate),"class formatAmountConversionRate {
public static String formatAmountConversionRate(double convRate) throws ISOException {
        if (convRate == 0)
            return null;
        BigDecimal cr = new BigDecimal(convRate);
        int x = 7 - cr.precision() + cr.scale();
        String bds = cr.movePointRight(cr.scale()).toString();
        if (x > 9)
            bds = ISOUtil.zeropad(bds, bds.length() + x - 9);
        String ret = ISOUtil.zeropadRight(bds, 7);
        return Math.min(9, x) + ISOUtil.takeFirstN(ret, 7);
    }
}","@Test
    public void testFormatAmtConvRate3() throws Exception {
        double rate = 0.0000345678;
        String expResult = ""90034567"";
        String result = ISOUtil.formatAmountConversionRate(rate);
        assertEquals(expResult, result);
    }"
(short keyLength),"class getBytesLength {
int getBytesLength(short keyLength) throws JCEHandlerException {
        int bytesLength = 0;
        switch (keyLength) {
        case SMAdapter.LENGTH_DES:
            bytesLength = 8;
            break;
        case SMAdapter.LENGTH_DES3_2KEY:
            bytesLength = 16;
            break;
        case SMAdapter.LENGTH_DES3_3KEY:
            bytesLength = 24;
            break;
        default:
            throw new JCEHandlerException(""Unsupported key length: "" + keyLength + "" bits"");
        }
        return bytesLength;
    }
}","@Test
    public void testGetBytesLength() throws Throwable {
        jCEHandler.getBytesLength((short) 128);
        assertTrue(true, ""Test completed without Exception"");
    }"
(boolean immediately),"class dispose {
void dispose(boolean immediately) {
        if (thread != null) {
            rotatingWriter.setShutdownOnThreadInterrupted(immediately);
            thread.interrupt();
            try {
                thread.join();
            } catch (InterruptedException e) {
                Thread.currentThread().interrupt();
            }
        }
    }
}","@Test
    public void testDisposesProperlyButFinishes() throws BrokenBarrierException, InterruptedException, IOException {
        deleteFolder(new File(DUMPS_DIRECTORY));
        final RotatingSnapshotFile rotatingSnapshotFile = new RotatingSnapshotFile(DUMPS_DIRECTORY, ""testingInterruptFinishes"");
        final TerracottaStore mockedTcStore = mock(TerracottaStore.class);
        final CyclicBarrier barrier = new CyclicBarrier(2);
        final Set mockedSet = mock(Set.class);
        final AtomicLong counter = new AtomicLong(0);
        when(mockedSet.iterator()).thenAnswer(new Answer<Iterator>() {
            public Iterator answer(final InvocationOnMock invocationOnMock) throws Throwable {
                return new Iterator<Object>() {

                    public boolean hasNext() {
                        return counter.get() < MAX_KEY;
                    }

                    public Object next() {
                        return KEY + counter.getAndIncrement();
                    }

                    public void remove() {
                        //
                    }
                };
            }
        });
        when(mockedTcStore.getLocalKeys()).thenAnswer(new Answer<Set>() {
            public Set answer(final InvocationOnMock invocationOnMock) throws Throwable {
                barrier.await();
                return mockedSet;
            }
        });
        KeySnapshotter snapshotter = new KeySnapshotter(createFakeTcClusteredCache(mockedTcStore), 1, true, rotatingSnapshotFile);
        barrier.await();
        snapshotter.dispose(false);
        assertThat(counter.get(), is(MAX_KEY));
        final Set<Object> objects = new HashSet<Object>(rotatingSnapshotFile.readAll());
        assertThat(objects.size(), is((int) MAX_KEY));
        for(int i = 0; i < MAX_KEY; i++) {
            objects.remove(KEY + i);
        }
        assertThat(objects.isEmpty(), is(true));
    }"
(boolean immediately),"class dispose {
void dispose(boolean immediately) {
        if (thread != null) {
            rotatingWriter.setShutdownOnThreadInterrupted(immediately);
            thread.interrupt();
            try {
                thread.join();
            } catch (InterruptedException e) {
                Thread.currentThread().interrupt();
            }
        }
    }
}","@Test
    public void testOperatesOnDedicatedThread() throws ParseException, IOException {
        CacheManager manager = new CacheManager(new Configuration().name(""testOperatesOnDedicatedThread""));
        try {
            final RotatingSnapshotFile rotatingSnapshotFile = mock(RotatingSnapshotFile.class);
            final TerracottaStore mock = mock(TerracottaStore.class);
            KeySnapshotter snapshotter = new KeySnapshotter(createFakeTcClusteredCache(manager, mock), 10, true, rotatingSnapshotFile);

            boolean found = false;
            for (Thread thread : getAllThreads()) {
                if (thread != null) {
                    if(thread.getName().equals(""KeySnapshotter for cache test"")) {
                        found = true;
                    }
                }
            }
            assertThat(found, is(true));
            snapshotter.dispose(true);
        } finally {
            manager.shutdown();
        }
    }"
(int sessionMode),"class createContext {
@Override
    public synchronized JMSContext createContext(int sessionMode) {
        if (connectionRefCount.get() == 0) {
            throw new IllegalStateRuntimeException(""The Connection is closed"");
        }

        validateSessionMode(sessionMode);

        connectionRefCount.incrementAndGet();

        return new JmsPoolJMSContext(connection, sessionMode, connectionRefCount);
    }
}","@Test(timeout = 30000)
    public void testCreateContextOptOutConfigurationWithCredentials() {
        cf.setUseProviderJMSContext(true);

        JMSContext context = cf.createContext(""user"", ""password"");

        assertNotNull(context);
        assertFalse(context instanceof JmsPoolJMSContext);
        assertTrue(context instanceof MockJMSContext);
        assertEquals(0, cf.getNumConnections());
    }"
(int location),"class get {
@Override
    public E get(int location) {
        if (location < 0 || location >= itemCount) {
            throw new ProgrammerError(""Index out of bounds; index: {}, size: {}"", location, itemCount);
        }
        return array[firstIndex + location];
    }
}","@Test
    public void testGet() {
        assertTrue(""Returned incorrect element"", alist.get(22) == objArray[22]);

        try {
            alist.get(8765);
            fail(""Failed to throw expected exception for index > size"");
        } catch (ProgrammerError e) {
            // Expected
            assertTrue(e.getMessage().startsWith(""Index out of bounds""));
        }
    }"
"(
            int newLength,
            int editActionStart,
            int editActionAddition)","class updateSelectionIndex {
@VisibleForTesting
    int updateSelectionIndex(
            int newLength,
            int editActionStart,
            int editActionAddition) {
        int newPosition, gapsJumped = 0;
        Set<Integer> gapSet = Card.AMERICAN_EXPRESS.equals(mCardBrand)
                ? SPACE_SET_AMEX
                : SPACE_SET_COMMON;
        boolean skipBack = false;
        for (Integer gap : gapSet) {
            if (editActionStart <= gap && editActionStart + editActionAddition > gap) {
                gapsJumped++;
            }

            // editActionAddition can only be 0 if we are deleting,
            // so we need to check whether or not to skip backwards one space
            if (editActionAddition == 0 && editActionStart == gap + 1) {
                skipBack = true;
            }
        }

        newPosition = editActionStart + editActionAddition + gapsJumped;
        if (skipBack && newPosition > 0) {
            newPosition--;
        }

        return newPosition <= newLength ? newPosition : newLength;
    }
}","@Test
    public void updateSelectionIndex_whenDinersClub_decreasesIndexWhenDeletingPastTheSpaces() {
        mCardNumberEditText.mCardBrand = Card.DINERS_CLUB;
        assertEquals(4, mCardNumberEditText.updateSelectionIndex(6, 5, 0));
        assertEquals(9, mCardNumberEditText.updateSelectionIndex(13, 10, 0));
        assertEquals(14, mCardNumberEditText.updateSelectionIndex(17, 15, 0));
    }"
"(
            int newLength,
            int editActionStart,
            int editActionAddition)","class updateSelectionIndex {
@VisibleForTesting
    int updateSelectionIndex(
            int newLength,
            int editActionStart,
            int editActionAddition) {
        int newPosition, gapsJumped = 0;
        Set<Integer> gapSet = Card.AMERICAN_EXPRESS.equals(mCardBrand)
                ? SPACE_SET_AMEX
                : SPACE_SET_COMMON;
        boolean skipBack = false;
        for (Integer gap : gapSet) {
            if (editActionStart <= gap && editActionStart + editActionAddition > gap) {
                gapsJumped++;
            }

            // editActionAddition can only be 0 if we are deleting,
            // so we need to check whether or not to skip backwards one space
            if (editActionAddition == 0 && editActionStart == gap + 1) {
                skipBack = true;
            }
        }

        newPosition = editActionStart + editActionAddition + gapsJumped;
        if (skipBack && newPosition > 0) {
            newPosition--;
        }

        return newPosition <= newLength ? newPosition : newLength;
    }
}","@Test
    public void updateSelectionIndex_whenDeletingNotOnGaps_doesNotDecreaseIndex() {
        mCardNumberEditText.mCardBrand = Card.DINERS_CLUB;
        assertEquals(7, mCardNumberEditText.updateSelectionIndex(12, 7, 0));
    }"
"(int expiryMonth, int expiryYear)","class getExpiryString {
public static String getExpiryString(int expiryMonth, int expiryYear) {
        StringBuilder sb = new StringBuilder();

        sb.append(expiryYear);

        if (expiryMonth < 10) {
            sb.append(""0"");
        }
        sb.append(expiryMonth);
        return sb.toString();
    }
}","@Test
    public void testGetExpiryString_DayMonthYear() {
        assertEquals( ""20170908"", IbUtils.getExpiryString(8, 9, 2017));
        assertEquals( ""20171110"", IbUtils.getExpiryString(10, 11, 2017));
    }"
(int touchX),"class getFocusRequestOnTouch {
@VisibleForTesting
    @Nullable
    StripeEditText getFocusRequestOnTouch(int touchX) {
        int frameStart = mFrameLayout.getLeft();

        if (mCardNumberIsViewed) {
            // Then our view is
            // |CARDVIEW||space||DATEVIEW|

            if (touchX < frameStart + mPlacementParameters.cardWidth) {
                // Then the card edit view will already handle this touch.
                return null;
            } else if (touchX < mPlacementParameters.cardTouchBufferLimit){
                // Then we want to act like this was a touch on the card view
                return mCardNumberEditText;
            } else if (touchX < mPlacementParameters.dateStartPosition) {
                // Then we act like this was a touch on the date editor.
                return mExpiryDateEditText;
            } else {
                // Then the date editor will already handle this touch.
                return null;
            }
        } else {
            // Our view is
            // |PEEK||space||DATE||space||CVC|
            if (touchX < frameStart + mPlacementParameters.peekCardWidth) {
                // This was a touch on the card number editor, so we don't need to handle it.
                return null;
            } else if( touchX < mPlacementParameters.cardTouchBufferLimit) {
                // Then we need to act like the user touched the card editor
                return mCardNumberEditText;
            } else if (touchX < mPlacementParameters.dateStartPosition) {
                // Then we need to act like this was a touch on the date editor
                return mExpiryDateEditText;
            } else if (touchX < mPlacementParameters.dateStartPosition + mPlacementParameters.dateWidth) {
                // Just a regular touch on the date editor.
                return null;
            } else if (touchX < mPlacementParameters.dateRightTouchBufferLimit) {
                // We need to act like this was a touch on the date editor
                return mExpiryDateEditText;
            } else if (touchX < mPlacementParameters.cvcStartPosition) {
                // We need to act like this was a touch on the cvc editor.
                return mCvcNumberEditText;
            } else {
                return null;
            }
        }
    }
}","@Test
    public void getFocusRequestOnTouch_whenTouchOnImage_returnsNull() {
        // |img==60||---total == 500--------|
        // |(card==190)--(space==260)--(date==50)|
        // |img==60||  cardTouchArea | 380 | dateTouchArea | dateStart==510 |
        // So any touch lower than 60 will be the icon
        assertNull(mCardInputWidget.getFocusRequestOnTouch(30));
    }"
"(int begin, int end)","class add {
@Override
  public Container add(int begin, int end) {
    RunContainer rc = (RunContainer) clone();
    return rc.iadd(begin, end);
  }
}","@Test
  public void equalTest2() {
    Container ac = new ArrayContainer();
    Container ar = new RunContainer();
    for (int k = 0; k < 10000; ++k) {
      ac = ac.add((char) k);
      ar = ar.add((char) k);
    }
    assertEquals(ac, ar);
  }"
"(int begin, int end)","class add {
@Override
  public Container add(int begin, int end) {
    RunContainer rc = (RunContainer) clone();
    return rc.iadd(begin, end);
  }
}","@Test
  public void testEqualsArrayContainer_NotEqual_ArrayLarger() {
    Container rc = new RunContainer().add(0, 10);
    Container ac = new ArrayContainer().add(0, 11);
    assertNotEquals(rc, ac);
    assertNotEquals(ac, rc);
  }"
"(int begin, int end)","class add {
@Override
  public Container add(int begin, int end) {
    RunContainer rc = (RunContainer) clone();
    return rc.iadd(begin, end);
  }
}","@Test
  public void RunContainerFromBitmap() {
    Container rc = new RunContainer();
    Container bc = new BitmapContainer();

    rc = rc.add((char) 2);
    bc = bc.add((char) 2);
    rc = rc.add((char) 3);
    bc = bc.add((char) 3);
    rc = rc.add((char) 4);
    bc = bc.add((char) 4);
    rc = rc.add((char) 17);
    bc = bc.add((char) 17);
    for (int i = 192; i < 500; ++i) {
      rc = rc.add((char) i);
      bc = bc.add((char) i);
    }
    rc = rc.add((char) 1700);
    bc = bc.add((char) 1700);
    rc = rc.add((char) 1701);
    bc = bc.add((char) 1701);

    // cases depending on whether we have largest item.
    // this test: no, we don't get near largest word

    RunContainer rc2 = new RunContainer((BitmapContainer) bc, ((RunContainer) rc).nbrruns);
    assertEquals(rc, rc2);
  }"
(char x),"class flip {
@Override
  public Container flip(char x) {
    if (this.contains(x)) {
      return this.remove(x);
    } else {
      return this.add(x);
    }
  }
}","@Test
  public void flip() {
    RunContainer rc = new RunContainer();
    rc.flip((char) 1);
    assertTrue(rc.contains((char) 1));
    rc.flip((char) 1);
    assertFalse(rc.contains((char) 1));
  }"
(char fromValue),"class nextValue {
@Override
  public int nextValue(char fromValue) {
    return nextSetBit((fromValue));
  }
}","@Test
  public void testNextValue() {
    BitmapContainer container = new ArrayContainer(new char[] { 10, 20, 30}).toBitmapContainer();
    assertEquals(10, container.nextValue((char)10));
    assertEquals(20, container.nextValue((char)11));
    assertEquals(30, container.nextValue((char)30));
  }"
(char fromValue),"class previousValue {
@Override
  public int previousValue(char fromValue) {
    int index = unsignedInterleavedBinarySearch(valueslength, 0, nbrruns, fromValue);
    int effectiveIndex = index >= 0 ? index : -index - 2;
    if (effectiveIndex == -1) {
      return -1;
    }
    int startValue = (getValue(effectiveIndex));
    int offset = (int) (fromValue) - startValue;
    int le = (getLength(effectiveIndex));
    if (offset >= 0 && offset <= le) {
      return fromValue;
    }
    return startValue + le;
  }
}","@Test
  public void testPreviousValue2() {
    RunContainer container = new RunContainer(new char[] { 64, 64, 200, 300, 5000, 200 }, 3);
    assertEquals(-1, container.previousValue((char)0));
    assertEquals(-1, container.previousValue((char)63));
    assertEquals(64, container.previousValue((char)64));
    assertEquals(65, container.previousValue((char)65));
    assertEquals(128, container.previousValue((char)128));
    assertEquals(128, container.previousValue((char)129));
    assertEquals(128, container.previousValue((char)199));
    assertEquals(200, container.previousValue((char)200));
    assertEquals(250, container.previousValue((char)250));
    assertEquals(500, container.previousValue((char)2500));
    assertEquals(5000, container.previousValue((char)5000));
    assertEquals(5200, container.previousValue((char)5200));
  }"
(char fromValue),"class nextAbsentValue {
@Override
  public int nextAbsentValue(char fromValue) {
    int index = unsignedInterleavedBinarySearch(valueslength, 0, nbrruns, fromValue);
    int effectiveIndex = index >= 0 ? index : -index - 2;
    if (effectiveIndex == -1) {
      return (fromValue);
    }
    int startValue = (getValue(effectiveIndex));
    int offset = (int) (fromValue) - startValue;
    int le = (getLength(effectiveIndex));
    return offset <= le ? startValue + le + 1 : (int) (fromValue);
  }
}","@Test
  public void testNextAbsentValueSparse() {
    Container container = new RunContainer(new char[] { 10, 0, 20, 0, 30, 0}, 3);
    assertEquals(9, container.nextAbsentValue((char)9));
    assertEquals(11, container.nextAbsentValue((char)10));
    assertEquals(11, container.nextAbsentValue((char)11));
    assertEquals(21, container.nextAbsentValue((char)21));
    assertEquals(31, container.nextAbsentValue((char)30));
  }"
(char fromValue),"class previousValue {
@Override
  public int previousValue(char fromValue) {
    int index = Util.advanceUntil(content, -1, cardinality, fromValue);
    if (index != cardinality && content[index] == fromValue) {
      return (content[index]);
    }
    return index == 0 ? -1 : (content[index - 1]);
  }
}","@Test
    public void testPreviousValueSparse() {
        ArrayContainer container = new ArrayContainer(new char[] { 10, 20, 30});
        assertEquals(-1, container.previousValue((char)9));
        assertEquals(10, container.previousValue((char)10));
        assertEquals(10, container.previousValue((char)11));
        assertEquals(20, container.previousValue((char)21));
        assertEquals(30, container.previousValue((char)30));
    }"
(char fromValue),"class nextValue {
@Override
  public int nextValue(char fromValue) {
    int index = unsignedInterleavedBinarySearch(valueslength, 0, nbrruns, fromValue);
    int effectiveIndex = index >= 0 ? index : -index - 2;
    if (effectiveIndex == -1) {
      return first();
    }
    int startValue = (getValue(effectiveIndex));
    int offset = (int) (fromValue) - startValue;
    int le = (getLength(effectiveIndex));
    if (offset <= le) {
      return fromValue;
    }
    if (effectiveIndex + 1 < numberOfRuns()) {
      return (getValue(effectiveIndex + 1));
    }
    return -1;
  }
}","@Test
  public void testNextValue2() {
    RunContainer container = new RunContainer(new char[] { 64, 64, 200, 300, 5000, 200 }, 3);
    assertEquals(64, container.nextValue((char)0));
    assertEquals(64, container.nextValue((char)63));
    assertEquals(64, container.nextValue((char)64));
    assertEquals(65, container.nextValue((char)65));
    assertEquals(128, container.nextValue((char)128));
    assertEquals(200, container.nextValue((char)129));
    assertEquals(200, container.nextValue((char)199));
    assertEquals(200, container.nextValue((char)200));
    assertEquals(250, container.nextValue((char)250));
    assertEquals(5000, container.nextValue((char)2500));
    assertEquals(5000, container.nextValue((char)5000));
    assertEquals(5200, container.nextValue((char)5200));
    assertEquals(-1, container.nextValue((char)5201));
  }"
"(int rangeStart, int rangeEnd)","class not {
public abstract Container not(int rangeStart, int rangeEnd);
}","@Test
  public void notTest1() {
    // Array container, range is complete
    final char[] content = {1, 3, 5, 7, 9};
    final Container c = makeContainer(content);
    final Container c1 = c.not(0, 65536);
    final char[] s = new char[65536 - content.length];
    int pos = 0;
    for (int i = 0; i < 65536; ++i) {
      if (Arrays.binarySearch(content, (char) i) < 0) {
        s[pos++] = (char) i;
      }
    }
    assertTrue(checkContent(c1, s));
    assertTrue(checkContent(c, content));
  }"
"(int row, int col)","class get {
public double get(int row, int col) {
        double val = matrix.get(row, col);
        for (OuterProductComboSymMatrix combo: this.combos) {
            val += combo.get(row, col);
        }

        return val;
    }
}","@Test
    public void testGet() throws Exception {
        /* matlab
         
           result = c + a * diag(w) * a'
           
           format long
           result(2, 3)
           2.14855000000000
         */
        
        OuterProductComboSymMatrix m = new OuterProductComboSymMatrix(a, w, false);
        MultiOPCSymMatrix m2 = new MultiOPCSymMatrix(c, m);
        
        assertEquals(2.14855000000000, m2.get(2,3), 1e-5);
    }"
"(int row, int col)","class selectCell {
public void selectCell(int row, int col) {
        if(selectedValue != 0) {
            // we have a value selected.
            // we need to set the value directly now / toggle notes.
            if(noteStatus) {
                toggleNote(row, col, selectedValue);
            } else {
                setValue(row, col, selectedValue);
            }
            undoRedoManager.addState(gameBoard);

        } else if(selectedRow == row && selectedCol == col) {
            // if we select the same field 2ce -> deselect it
            selectedRow = -1;
            selectedCol = -1;
            highlightValue = 0;
        } else {
            // else we set it to the new selected field
            selectedRow = row;
            selectedCol = col;
            // highlight the selected value only if its not 0.
            int v = getGameCell(row, col).getValue();
            if(v != 0) {
                highlightValue = v;
            }
        }
        notifyHighlightChangedListeners();
    }
}","@Test
    public void selectCellTest() {

        controller.selectCell(0, 1);
        assertEquals(1, controller.getSelectedCol());
        assertEquals(0, controller.getSelectedRow());
    }"
"(int row, int col)","class checkDimensions {
static void checkDimensions(int row, int col) {
        checkExpression(row > 0 && col > 0,
                ""Row and column should be positive"");
    }
}","@Test
    public void testCheckDimensions2() {
        final Matrix a = Matrix.zeros(2, 3);
        final Matrix b = a.copy();

        MatrixChecker.checkDimensions(a, b);
    }"
"(int i, int i2)","class subpath {
@Override
    public Path subpath(int i, int i2) {
        if ((0 == i && parts.length <= 1 && parts[0].isEmpty())
                || i < 0 || i2 < 0
                || i >= parts.length || i2 > parts.length
                || i > i2) {
            throw new IllegalArgumentException(""invalid indices"");
        }
        return new GlusterPath(fileSystem, Arrays.copyOfRange(parts, i, i2), absolute);
    }
}","@Test(expected = IllegalArgumentException.class)
    public void testSubpath_excessiveStart() {
        Path p = new GlusterPath(mockFileSystem, ""/foo"");
        p.subpath(4, 5);
    }"
(long nBytes),"class getStringDescriptionFor {
public static String getStringDescriptionFor(long nBytes) {

    char[] units = { 'B', 'K', 'M', 'G', 'T', 'P' };

    double current = nBytes;
    double prev = current;
    int index = 0;

    while ((current = current / 1024) >= 1) {
      prev = current;
      ++index;
    }

    assert index < units.length : ""Too large a number."";

    return getFormatter().format(prev) + units[index];
  }
}","@Test
  public void terabytes() {
    assertThat(BytesFormatter.getStringDescriptionFor(1024L * 1024L * 1024L * 1024L), is(""1.0T""));
  }"
