Parameter,Function,Test Case,cyclomatic_complexity,SPF_Results
(long timeDiff),"public class FormatTimeSortable {
public static String formatTimeSortable(long timeDiff) {
    StringBuilder buf = new StringBuilder();
    long hours = timeDiff / (60 * 60 * 1000);
    long rem = (timeDiff % (60 * 60 * 1000));
    long minutes = rem / (60 * 1000);
    rem = rem % (60 * 1000);
    long seconds = rem / 1000;

    // if hours is more than 99 hours, it will be set a max value format
    if (hours > 99) {
      hours = 99;
      minutes = 59;
      seconds = 59;
    }

    buf.append(String.format(""%02d"", hours));
    buf.append(""hrs, "");

    buf.append(String.format(""%02d"", minutes));
    buf.append(""mins, "");

    buf.append(String.format(""%02d"", seconds));
    buf.append(""sec"");
    return buf.toString();
  }
}","@Test
  public void testFormatTimeSortable() {
    long timeDiff = 523452311;
    String timeDiffStr = ""99hrs, 59mins, 59sec"";

    assertEquals(""Incorrect time diff string returned"", timeDiffStr,
        StringUtils.formatTimeSortable(timeDiff));
  }",2,"Inputs: timeDiff_1_SYMINT

demo.FormatTimeSortable.formatTimeSortable(0l)  --> Return Value: java.lang.String@2e9
demo.FormatTimeSortable.formatTimeSortable(356400000l)  --> Return Value: java.lang.String@2e9
demo.FormatTimeSortable.formatTimeSortable(360000000l)  --> Return Value: java.lang.String@2e9
"
"(int number, int digitIndex)","public class GetDigitFromNumber {
public static int getDigitFromNumber(int number, int digitIndex) {
        // TODO error check and efficiency (maybe put powers of 10 to array)
        return number / (int)Math.pow(10, digitIndex) % 10;
    }
}","@Test
    public void testGetDigitFromNumber() {
        Assert.assertEquals(MathUtils.getDigitFromNumber(2233445, 0), 5);
        Assert.assertEquals(MathUtils.getDigitFromNumber(2233445, 1), 4);
        Assert.assertEquals(MathUtils.getDigitFromNumber(2233445, 2), 4);
        Assert.assertEquals(MathUtils.getDigitFromNumber(2233445, 3), 3);
        Assert.assertEquals(MathUtils.getDigitFromNumber(2233445, 4), 3);
        Assert.assertEquals(MathUtils.getDigitFromNumber(2233445, 5), 2);
        Assert.assertEquals(MathUtils.getDigitFromNumber(2233445, 6), 2);
    }",1,
(int n),"public class IsNotPrime {
public static boolean isNotPrime(int n) {
    if (n < 2 || (n & 0x1) == 0) { // < 2 or even
      return n != 2;
    }
    int max = 1 + (int) Math.sqrt(n);
    for (int d = 3; d <= max; d += 2) {
      if (n % d == 0) {
        return true;
      }
    }
    return false;
  }
}","@Test
  public void testIsNotPrime() {
    assertTrue(RandomUtils.isNotPrime(Integer.MIN_VALUE));
    assertTrue(RandomUtils.isNotPrime(-1));
    assertTrue(RandomUtils.isNotPrime(0));
    assertTrue(RandomUtils.isNotPrime(1));
    assertTrue(!RandomUtils.isNotPrime(2));
    assertTrue(!RandomUtils.isNotPrime(3));
    assertTrue(RandomUtils.isNotPrime(4));
    assertTrue(!RandomUtils.isNotPrime(5));
    assertTrue(RandomUtils.isNotPrime(Integer.MAX_VALUE - 1));   
    assertTrue(!RandomUtils.isNotPrime(Integer.MAX_VALUE)); // 2^31 - 1
  }",5,
(int unsignedValue),"public class UnsignedIntToLong {
public static long unsignedIntToLong(int unsignedValue) {
        // use standard Java widening conversion to long which does
        // sign-extension,
        // then drop any copies of the sign bit, to prevent the value being
        // considered a negative one by Java if it is set
        long longValue = unsignedValue;
        return longValue & 0xffff_ffffL;
    }
}","@Test
    public void testUnsignedIntToLong() {
        assertEquals(0L, ParseUtil.unsignedIntToLong(0));
        assertEquals(123L, ParseUtil.unsignedIntToLong(123));
        assertEquals(4294967295L, ParseUtil.unsignedIntToLong(0xffffffff));
    }",1,"Inputs: unsignedValue_1_SYMINT
No path conditions for demo.UnsignedIntToLong.unsignedIntToLong(0)
"
(int s),"public class GetAppropriateLoggingInterval {
public static int getAppropriateLoggingInterval(int s){
				
		int interval = s/10;
		// rounded to lowest power of 10. 
		double exponent = Math.floor(Math.log10((double) interval));
		int roundedInterval = (int) Math.pow(10, exponent); 
		
		if (roundedInterval >= 1) {
			return roundedInterval;
		}
		else {
			return 1;
		}
		
	}
}","@Test
	public void test() {
				
		assertEquals(LoggingIntervalUtil.getAppropriateLoggingInterval(16777216), 1000000);
		assertEquals(LoggingIntervalUtil.getAppropriateLoggingInterval(10), 1);
		assertEquals(LoggingIntervalUtil.getAppropriateLoggingInterval(-10), 1);
		assertEquals(LoggingIntervalUtil.getAppropriateLoggingInterval(Integer.MIN_VALUE), 1);
		assertTrue(LoggingIntervalUtil.getAppropriateLoggingInterval(Integer.MAX_VALUE) > 1000000);
	}",2,
(int hugeMultiple),"public class VerifyHugeMultiple {
static void verifyHugeMultiple(int hugeMultiple) {
    if (hugeMultiple > 256 || hugeMultiple < 0) {
      // this restriction exists because of the dataSize field in the object header.
      throw new IllegalStateException(
          ""HUGE_MULTIPLE must be >= 0 and <= 256 but it was "" + hugeMultiple);
    }
  }
}","@Test
  public void hugeMultipleLessThanZeroIsIllegal() {
    try {
      FreeListManager.verifyHugeMultiple(-1);
      fail(""expected IllegalStateException"");
    } catch (IllegalStateException expected) {
      assertThat(expected.getMessage()).contains(
          ""HUGE_MULTIPLE must be >= 0 and <= "" + FreeListManager.HUGE_MULTIPLE + "" but it was -1"");
    }
  }",3,"Inputs: hugeMultiple_1_SYMINT

demo.VerifyHugeMultiple.verifyHugeMultiple(257)  --> ""java.lang.IllegalStateException: HUGE_MULTIPLE must be >= 0 and <= 256 but it was 0...""
demo.VerifyHugeMultiple.verifyHugeMultiple(-1)  --> ""java.lang.IllegalStateException: HUGE_MULTIPLE must be >= 0 and <= 256 but it was 0...""
demo.VerifyHugeMultiple.verifyHugeMultiple(0)  --> Return Value: --
"
"(int n, int k)","public class BinomialCoeff {
public static long binomialCoeff(int n, int k) {
    if (n <= k) {
      return 1;
    }
    int c;
    if (k > n - k) { // take advantage of symmetry
      k = n - k;
    }
    c = 1;
    for (int i = 0; i < k; i++) {
      c *= (n - i);
      c /= (i + 1);

    }
    return c;
  }
}","@Test
  public void testBinomialCoeff() throws Exception {
    // choose(7, 3) = 35
    long result = MathUtils.binomialCoeff(7, 3);
    assertEquals(35, result);

    // Check when k > n-k
    // choose(5,3) = 10
    result = MathUtils.binomialCoeff(5, 3);
    assertEquals(result, 10);
  }",4,"Inputs: n_1_SYMINT,k_2_SYMINT

demo.BinomialCoeff.binomialCoeff(0,0)  --> Return Value: 1
demo.BinomialCoeff.binomialCoeff(3,2)  --> Return Value: 3
demo.BinomialCoeff.binomialCoeff(0,-1)  --> Return Value: 1
demo.BinomialCoeff.binomialCoeff(5,3)  --> Return Value: 10
demo.BinomialCoeff.binomialCoeff(2,1)  --> Return Value: 2
demo.BinomialCoeff.binomialCoeff(7,4)  --> Return Value: 35
demo.BinomialCoeff.binomialCoeff(4,2)  --> Return Value: 6
demo.BinomialCoeff.binomialCoeff(9,5)  --> Return Value: 126
demo.BinomialCoeff.binomialCoeff(6,3)  --> Return Value: 20
demo.BinomialCoeff.binomialCoeff(11,6)  --> Return Value: 462
demo.BinomialCoeff.binomialCoeff(8,4)  --> Return Value: 70
demo.BinomialCoeff.binomialCoeff(13,7)  --> Return Value: 1716
demo.BinomialCoeff.binomialCoeff(10,5)  --> Return Value: 252
demo.BinomialCoeff.binomialCoeff(15,8)  --> Return Value: 6435
demo.BinomialCoeff.binomialCoeff(12,6)  --> Return Value: 924
"
"(double magnitude, double sign)","public class CopySign {
public static double copySign(double magnitude, double sign){
        // The highest order bit is going to be zero if the
        // highest order bit of m and s is the same and one otherwise.
        // So (m^s) will be positive if both m and s have the same sign
        // and negative otherwise.
        final long m = Double.doubleToRawLongBits(magnitude); // don't care about NaN
        final long s = Double.doubleToRawLongBits(sign);
        if ((m^s) >= 0) {
            return magnitude;
        }
        return -magnitude; // flip sign
    }
}","@Test
    public void testIndicatorDouble() {
        double delta = 0.0;
        Assert.assertEquals(1.0, FastMath.copySign(1d, 2.0), delta);
        Assert.assertEquals(1.0, FastMath.copySign(1d, 0.0), delta);
        Assert.assertEquals(-1.0, FastMath.copySign(1d, -0.0), delta);
        Assert.assertEquals(1.0, FastMath.copySign(1d, Double.POSITIVE_INFINITY), delta);
        Assert.assertEquals(-1.0, FastMath.copySign(1d, Double.NEGATIVE_INFINITY), delta);
        Assert.assertEquals(1.0, FastMath.copySign(1d, Double.NaN), delta);
        Assert.assertEquals(-1.0, FastMath.copySign(1d, -2.0), delta);
    }",2,"Inputs: magnitude_1_SYMREAL,sign_2_SYMREAL
No path conditions for demo.CopySign.copySign(0.0,0.0)
"
"(double from, double to, int gapsCount)","public class LinearInterpolate {
public static double[] linearInterpolate(double from, double to, int gapsCount) {
        double[] res = new double[gapsCount + 2];

        // the first and last value should be from and to
        res[0] = from;
        res[res.length - 1] = to;

        // calculate the gradient over the two points
        double gradient = (to - from) / (gapsCount + 1);

        for (int i = 1; i < res.length - 1; i++) {
            res[i] = res[i-1] + gradient;

        }

        return res;
    }
}","@Test
    public void testLinearInterpolate() {
        assertTrue(checkDoubleArrayEquality(FillGaps.linearInterpolate(1,7,5), new double[] {1,2,3,4,5,6,7}));
        assertTrue(checkDoubleArrayEquality(FillGaps.linearInterpolate(5.7, 25.5, 5), new double[] {5.7, 9, 12.3, 15.6, 18.9, 22.2, 25.5}));
        assertTrue(checkDoubleArrayEquality(FillGaps.linearInterpolate(6.9, 19.3, 2), new double[] {6.9, 11.033, 15.166, 19.3}));
        assertTrue(checkDoubleArrayEquality(FillGaps.linearInterpolate(5, 15, 1), new double[] {5, 10, 15}));
        assertTrue(checkDoubleArrayEquality(FillGaps.linearInterpolate(3, -5, 7), new double[] {3, 2, 1, 0, -1, -2, -3, -4, -5}));
    }",2,
"(int year, int month)","public class DaysInMonth {
protected static int daysInMonth(int year, int month) {
        int daysInMonth;
        switch (month) {
            case 1:
            case 3:
            case 5:
            case 7:
            case 8:
            case 10:
            case 12:
                daysInMonth = 31;
                break;
            case 2:
                if (((year % 4 == 0) && (year % 100 != 0)) || (year % 400 == 0)) {
                    daysInMonth = 29;
                } else {
                    daysInMonth = 28;
                }
                break;
            default:
                // returns 30 even for nonexistant months 
                daysInMonth = 30;
        }
        return daysInMonth;
    }
}","@Test
    public void testDaysInMonths_standardMonths_31() throws Exception {
        assertThat(Utilities.daysInMonth(2400, 1), is(31));
        assertThat(Utilities.daysInMonth(2400, 3), is(31));
        assertThat(Utilities.daysInMonth(2400, 5), is(31));
        assertThat(Utilities.daysInMonth(2400, 7), is(31));
        assertThat(Utilities.daysInMonth(2400, 8), is(31));
        assertThat(Utilities.daysInMonth(2400, 10), is(31));
        assertThat(Utilities.daysInMonth(2400, 12), is(31));

        assertThat(Utilities.daysInMonth(2003, 1), is(31));
        assertThat(Utilities.daysInMonth(2003, 3), is(31));
        assertThat(Utilities.daysInMonth(2003, 5), is(31));
        assertThat(Utilities.daysInMonth(2003, 7), is(31));
        assertThat(Utilities.daysInMonth(2003, 8), is(31));
        assertThat(Utilities.daysInMonth(2003, 10), is(31));
        assertThat(Utilities.daysInMonth(2003, 12), is(31));
    }",5,"Inputs: year_1_SYMINT,month_2_SYMINT

demo.DaysInMonth.daysInMonth(-9223372036854775808(don't care),1)  --> Return Value: 31
demo.DaysInMonth.daysInMonth(-9223372036854775808(don't care),3)  --> Return Value: 31
demo.DaysInMonth.daysInMonth(-9223372036854775808(don't care),4)  --> Return Value: 30
demo.DaysInMonth.daysInMonth(-9223372036854775808(don't care),5)  --> Return Value: 31
demo.DaysInMonth.daysInMonth(-9223372036854775808(don't care),6)  --> Return Value: 30
demo.DaysInMonth.daysInMonth(-9223372036854775808(don't care),7)  --> Return Value: 31
demo.DaysInMonth.daysInMonth(-9223372036854775808(don't care),8)  --> Return Value: 31
demo.DaysInMonth.daysInMonth(-9223372036854775808(don't care),9)  --> Return Value: 30
demo.DaysInMonth.daysInMonth(-9223372036854775808(don't care),10)  --> Return Value: 31
demo.DaysInMonth.daysInMonth(-9223372036854775808(don't care),11)  --> Return Value: 30
demo.DaysInMonth.daysInMonth(-9223372036854775808(don't care),12)  --> Return Value: 31
demo.DaysInMonth.daysInMonth(-9223372036854775808(don't care),0)  --> Return Value: 30
demo.DaysInMonth.daysInMonth(1,2)  --> Return Value: 28
demo.DaysInMonth.daysInMonth(-4,2)  --> Return Value: 29
demo.DaysInMonth.daysInMonth(0,2)  --> Return Value: 29
demo.DaysInMonth.daysInMonth(500,2)  --> Return Value: 28
"
"(long val, int padTo)","public class ToHexString {
public static String toHexString(long val, int padTo) {
        char arr[] = Long.toHexString(val).toCharArray();
        String ret = """";
        // prepend the right number of leading zeros
        int i = 0;
        for (; i < (padTo * 2 - arr.length); i++) {
            ret += ""0"";
//            if ((i % 2) != 0)
//                ret += "":"";
        }
        for (int j = 0; j < arr.length; j++) {
            ret += arr[j];
//            if ((((i + j) % 2) != 0) && (j < (arr.length - 1)))
//                ret += "":"";
        }
        return ret;
    }
}","@Test
    public void testToHexString() throws Exception {
        Assert.assertTrue(HexString.toHexString(1L,6) != null);
        Assert.assertTrue(HexString.toHexString(1L) != null);
    }",3,"Inputs: val_1_SYMINT,padTo_2_SYMINT

demo.ToHexString.toHexString(-9223372036854775808(don't care),0)  --> Return Value: java.lang.String@1dd
demo.ToHexString.toHexString(-9223372036854775808(don't care),1)  --> Return Value: java.lang.String@1dd
demo.ToHexString.toHexString(-9223372036854775808(don't care),2)  --> Return Value: java.lang.String@1dd
demo.ToHexString.toHexString(-9223372036854775808(don't care),3)  --> Return Value: java.lang.String@1dd
demo.ToHexString.toHexString(-9223372036854775808(don't care),4)  --> Return Value: java.lang.String@1dd
demo.ToHexString.toHexString(-9223372036854775808(don't care),5)  --> Return Value: java.lang.String@1dd
demo.ToHexString.toHexString(-9223372036854775808(don't care),6)  --> Return Value: java.lang.String@1dd
demo.ToHexString.toHexString(-9223372036854775808(don't care),7)  --> Return Value: java.lang.String@1dd
demo.ToHexString.toHexString(-9223372036854775808(don't care),8)  --> Return Value: java.lang.String@1dd
"
(int n),"public class Perm {
public static int[] perm(int n) {
        int[] a = new int[n];
        for (int i = 0; i < n; i++) a[i] = i;
        for (int i = 0; i < n; i++) {
            int r = i + (int) (Math.random() * (n - i));   // between i and N-1
            int temp = a[i];
            a[i] = a[r];
            a[r] = temp;
        }
        return a;
    }
}","@Test
    public void permTest() {
        assertNotEquals(""[9,0,8,3,5,7,2,10,4,1,6] "", JSON.toJSONString(perm(11)));
    }",3,
(int num),"public class CountBits {
static int[] countBits(int num) {
        if (num < 0) return null;

        int[] result = new int[num + 1];
        String binary;
        int count;
        //[0, 1, 10, 11, 100, 101]
        for (int i = 0; i <= num; i++) {
            binary = Integer.toBinaryString(i);
            count = 0;
            for (char c : binary.toCharArray()) {
                if (c == '1')
                    count++;
            }
            result[i] = count;
        }
        return result;
    }
}","@Test
    public void countingBits() {

        assertNull(CountingBitsSolution.countBits(-1));
        assertEquals(0, CountingBitsSolution.countBits(0)[0]);

        int[] result = CountingBitsSolution.countBits(5);
        int[] except = new int[]{0, 1, 1, 2, 1, 2};
        for (int i = 0; i < 5; i++) {
            assertEquals(except[i], result[i]);
        }
        long b = System.currentTimeMillis();
        CountingBitsSolution.countBits(SUPPRESS_TEST_LIMITATION);
        long e = System.currentTimeMillis();
        System.out.println(e - b);      //20
    }",5,
(int num),"public class CountBitsWisdom {
static int[] countBitsWisdom(int num) {
        if (num < 0) return null;

        int[] f = new int[num + 1];
        //0, 1, 1, 2, 1, 2
        for (int i = 1; i <= num; i++) f[i] = f[i >> 1] + (i & 1);
        return f;
    }
}","@Test
    public void countingBitsWisdom() {

        assertNull(CountingBitsSolution.countBitsWisdom(-1));
        assertEquals(0, CountingBitsSolution.countBitsWisdom(0)[0]);

        int[] result = CountingBitsSolution.countBitsWisdom(5);
        int[] except = new int[]{0, 1, 1, 2, 1, 2};
        for (int i = 0; i < 5; i++) {
            assertEquals(except[i], result[i]);
        }
        long b = System.currentTimeMillis();
        CountingBitsSolution.countBitsWisdom(SUPPRESS_TEST_LIMITATION);
        long e = System.currentTimeMillis();
        System.out.println(e - b);      //1
    }",3,
(double v),"public class Round {
public static long round(double v) {
		// Use Math.round to tackle the special cases of +/- Infinity and NaN
		long result = Math.round(v);
		// The only special case kicks in if the value is negative and has a
		// 0.5 part.
		if (v < 0.0 && (result - v) == 0.5) {
			return result - 1;
		}
		return result;
	}
}","@Test
	public void testRound() {
		assertEquals(""round 0.5"", 1L, MathUtil.round(0.5));
		assertEquals(""round -0.5"", -1L, MathUtil.round(-0.5));
		assertEquals(""round 50.5"", 51L, MathUtil.round(50.5));
		assertEquals(""round -50.5"", -51L, MathUtil.round(-50.5));
		assertEquals(""round +Infinity"", Long.MAX_VALUE, MathUtil.round(Double.POSITIVE_INFINITY));
		assertEquals(""round -Infinity"", Long.MIN_VALUE, MathUtil.round(Double.NEGATIVE_INFINITY));
		assertEquals(""round NaN"", 0L, MathUtil.round(Double.NaN));
	}",3,
"(double k, double x, double beta)","public class GetAlphaAdjoint {
protected double[] getAlphaAdjoint(double k, double x, double beta) {

    double w1 = Math.pow(x, -beta);
    double w2 = x - k;
    double w3 = w2 * w1;

    double w2Bar = w1;
    double w1Bar = w2;

    double[] res = new double[4];
    res[0] = w3;
    res[1] = -w2Bar; // kBar
    res[2] = w2Bar - beta * w1 / x * w1Bar; // xBar
    res[3] = -Math.log(x) * w3; // betaBar

    return res;
  }
}","@Test
  public void alphaTest() {
    final double k = 123;
    final double x = 204;
    final double beta = 2.3;

    final BjerksundStenslandModel bs = new BjerksundStenslandModel();

    final double[] sense = bs.getAlphaAdjoint(k, x, beta);
    final double[] parms = new double[] {k, x, beta };
    final int n = parms.length;
    final double eps = 1e-5;
    for (int i = 0; i < n; i++) {
      final double[] temp = Arrays.copyOf(parms, n);
      temp[i] += eps;
      final double up = bs.getAlphaAdjoint(temp[0], temp[1], temp[2])[0];
      temp[i] -= 2 * eps;
      final double down = bs.getAlphaAdjoint(temp[0], temp[1], temp[2])[0];
      final double fd = (up - down) / 2 / eps;
      assertEquals(fd, sense[i + 1], Math.abs(fd) * 1e-8);
    }
  }",1,
"(double gamma, double b, double sigmaSq)","public class GetKappaAdjoint {
protected double[] getKappaAdjoint(double gamma, double b, double sigmaSq) {
    double[] res = new double[4];
    double temp = 2 * b / sigmaSq;
    res[0] = temp + 2 * gamma - 1;
    res[1] = 2.0; // gammaBar
    res[2] = 2 / sigmaSq; // bBar
    res[3] = -temp / sigmaSq; // sigmasqBar
    return res;
  }
}","@Test
  public void kappaTest() {
    final double[] gammaSet = new double[] {0, 1, 0.9, 2.3 };
    final double[] bSet = {-0.03, 0, 0.04 };
    final double sigma = 0.3;
    final double sigmaSq = sigma * sigma;

    final BjerksundStenslandModel bs = new BjerksundStenslandModel();

    for (final double gamma : gammaSet) {
      for (final double b : bSet) {

        final double[] sense = bs.getKappaAdjoint(gamma, b, sigmaSq);
        final double[] parms = new double[] {gamma, b, sigmaSq };
        final int n = parms.length;
        final double eps = 1e-5;
        for (int i = 0; i < n; i++) {
          final double[] temp = Arrays.copyOf(parms, n);
          temp[i] += eps;
          final double up = bs.getKappaAdjoint(temp[0], temp[1], temp[2])[0];
          temp[i] -= 2 * eps;
          final double down = bs.getKappaAdjoint(temp[0], temp[1], temp[2])[0];
          final double fd = (up - down) / 2 / eps;
          assertEquals(fd, sense[i + 1], Math.abs(fd) * 2e-8);
        }
      }
    }
  }",1,
"(double gamma, double r, double b, double sigmaSq)","public class GetLambdaAdjoint {
protected double[] getLambdaAdjoint(double gamma, double r, double b, double sigmaSq) {
    double[] res = new double[5];
    double temp = 0.5 * gamma * (gamma - 1);
    res[0] = -r + gamma * b + temp * sigmaSq; // lambda
    res[1] = b + (gamma - 0.5) * sigmaSq; // gammaBar
    res[2] = -1.0; // rBar
    res[3] = gamma; // bBar
    res[4] = temp; // sigmasqBar
    return res;
  }
}","@Test
  public void lambdaTest() {
    final double[] gammaSet = new double[] {0, 1, 0.9, 2.3 };
    final double r = 0.1;
    final double[] bSet = {-0.03, 0, 0.04, r };
    final double sigma = 0.3;
    final double sigmaSq = sigma * sigma;

    final BjerksundStenslandModel bs = new BjerksundStenslandModel();

    for (final double gamma : gammaSet) {
      for (final double b : bSet) {

        final double[] sense = bs.getLambdaAdjoint(gamma, r, b, sigmaSq);
        final double[] parms = new double[] {gamma, r, b, sigmaSq };
        final int n = parms.length;
        final double eps = 1e-5;
        for (int i = 0; i < n; i++) {
          final double[] temp = Arrays.copyOf(parms, n);
          temp[i] += eps;
          final double up = bs.getLambdaAdjoint(temp[0], temp[1], temp[2], temp[3])[0];
          temp[i] -= 2 * eps;
          final double down = bs.getLambdaAdjoint(temp[0], temp[1], temp[2], temp[3])[0];
          final double fd = (up - down) / 2 / eps;
          assertEquals(fd, sense[i + 1], Math.abs(fd) * 1e-8);
        }
      }
    }
  }",1,
(int statusCode),"public class IsRedirectStatusCode {
public static boolean isRedirectStatusCode(int statusCode) {
	switch (statusCode) {
		// TODO check why 301 is not mentioned in TR
	    case 301: // fall through
	    case 302: // fall through
	    case 303: // fall through
	    case 307:
		return true;

	    default:
		return false;
	}
    }
}","@Test
    public void testIsRedirectStatusCode() {
	boolean result = TR03112Utils.isRedirectStatusCode(200);
	Assert.assertFalse(result);
	result = TR03112Utils.isRedirectStatusCode(300);
	Assert.assertFalse(result);
	result = TR03112Utils.isRedirectStatusCode(301);
	Assert.assertTrue(result);
	result = TR03112Utils.isRedirectStatusCode(302);
	Assert.assertTrue(result);
	result = TR03112Utils.isRedirectStatusCode(303);
	Assert.assertTrue(result);
	result = TR03112Utils.isRedirectStatusCode(304);
	Assert.assertFalse(result);
	result = TR03112Utils.isRedirectStatusCode(305);
	Assert.assertFalse(result);
	result = TR03112Utils.isRedirectStatusCode(306);
	Assert.assertFalse(result);
	result = TR03112Utils.isRedirectStatusCode(307);
	Assert.assertTrue(result);
	result = TR03112Utils.isRedirectStatusCode(400);
	Assert.assertFalse(result);
    }",2,"Inputs: statusCode_1_SYMINT

demo.IsRedirectStatusCode.isRedirectStatusCode(301)  --> Return Value: 1
demo.IsRedirectStatusCode.isRedirectStatusCode(302)  --> Return Value: 1
demo.IsRedirectStatusCode.isRedirectStatusCode(303)  --> Return Value: 1
demo.IsRedirectStatusCode.isRedirectStatusCode(304)  --> Return Value: 0
demo.IsRedirectStatusCode.isRedirectStatusCode(305)  --> Return Value: 0
demo.IsRedirectStatusCode.isRedirectStatusCode(306)  --> Return Value: 0
demo.IsRedirectStatusCode.isRedirectStatusCode(307)  --> Return Value: 1
demo.IsRedirectStatusCode.isRedirectStatusCode(0)  --> Return Value: 0
"
(byte dataCoding),"public class GetMaxCharacters {
public static int getMaxCharacters(byte dataCoding) {
        switch (dataCoding) {
            case 0:case 1: return 160; // these are 7bit, return full length
            // JP and KR are suppose to use multi-byte character. This is probably needed to be tested once we get more
            // people using those charset so they can maximize their allowed number of characters in single message.
            // For now assume it is the same one as double byte characters
            case 5:case 10:case 13: // just to be safe for japanese
            case 8:
            case 14: // just to be safe for korean
                return 70;
            default: return 140;
        }
    }
}","@Test
    public void testGetMaxCharacters() throws Exception {
        Assert.assertEquals(160, DataCodingSpecification.getMaxCharacters((byte)0));
        Assert.assertEquals(160, DataCodingSpecification.getMaxCharacters((byte)1));
        Assert.assertEquals(140, DataCodingSpecification.getMaxCharacters((byte)2));
        Assert.assertEquals(140, DataCodingSpecification.getMaxCharacters((byte)3));
        Assert.assertEquals(140, DataCodingSpecification.getMaxCharacters((byte)4));
        Assert.assertEquals(70, DataCodingSpecification.getMaxCharacters((byte)5));
        Assert.assertEquals(140, DataCodingSpecification.getMaxCharacters((byte)6));
        Assert.assertEquals(140, DataCodingSpecification.getMaxCharacters((byte)7));
        Assert.assertEquals(70, DataCodingSpecification.getMaxCharacters((byte)8));
        Assert.assertEquals(70, DataCodingSpecification.getMaxCharacters((byte)10));
        Assert.assertEquals(70, DataCodingSpecification.getMaxCharacters((byte)13));
        Assert.assertEquals(70, DataCodingSpecification.getMaxCharacters((byte)14));
    }",2,
(int codePoint),"public class IsWhitespace {
public static boolean isWhitespace(int codePoint) {
		// Whitespace character are space, tab, newline and carriage return:
		return codePoint == 0x20 || codePoint == 0x9 || codePoint == 0xA || codePoint == 0xD;
	}
}","@Test
	public final void testIsWhitespace() {
		assertFalse(TurtleUtil.isWhitespace(';'));
	}",4,"Inputs: codePoint_1_SYMINT

demo.IsWhitespace.isWhitespace(32)  --> Return Value: 1
demo.IsWhitespace.isWhitespace(9)  --> Return Value: 1
demo.IsWhitespace.isWhitespace(10)  --> Return Value: 1
demo.IsWhitespace.isWhitespace(13)  --> Return Value: 1
demo.IsWhitespace.isWhitespace(0)  --> Return Value: 0
"
(double degrees),"public class NormalizeLatitude {
public static double normalizeLatitude(double degrees) {
        double lat = degrees % 180;
        double normalizedLat = lat > 90 ? 180 - lat : (lat < -90 ? -180 - lat : lat);
        // Determine whether whether the latitude is in the north or south hemisphere
        int numEquatorCrosses = (int) (degrees / 180);
        return (numEquatorCrosses % 2 == 0) ? normalizedLat : -normalizedLat;
    }
}","@Test
    public void testNormalizeLatitude() throws Exception {
        // Orbit the globe, starting at the equator and move north
        // testing the sign at the hemisphere boundaries.
        assertEquals(""zero"", 0.0, Location.normalizeLatitude(0.0), 0);
        assertEquals(""1"", 1.0, Location.normalizeLatitude(1.0), 0);
        // Test at the north pole
        assertEquals(""89"", 89.0, Location.normalizeLatitude(89.0), 0);
        assertEquals(""90"", 90.0, Location.normalizeLatitude(90.0), 0);
        assertEquals(""91"", 89.0, Location.normalizeLatitude(91.0), 0);

        // Test at the equator, continue moving south
        assertEquals(""179"", 1.0, Location.normalizeLatitude(179.0), 0);
        assertEquals(""180"", 0.0, Location.normalizeLatitude(180.0), 0);
        assertEquals(""181"", -1.0, Location.normalizeLatitude(181.0), 0);

        // Test at the south pole
        assertEquals(""269"", -89.0, Location.normalizeLatitude(269.0), 0);
        assertEquals(""270"", -90.0, Location.normalizeLatitude(270.0), 0);
        assertEquals(""271"", -89.0, Location.normalizeLatitude(271.0), 0);

        // Test at the prime meridian
        assertEquals(""359"", -1.0, Location.normalizeLatitude(359.0), 0);
        assertEquals(""360"", 0.0, Location.normalizeLatitude(360.0), 0);
        assertEquals(""361"", 1.0, Location.normalizeLatitude(361.0), 0);
        assertEquals(""721"", 1.0, Location.normalizeLatitude(721.0), 0);

        // Test negative values
        assertEquals(""-1"", -1.0, Location.normalizeLatitude(-1.0), 0);
        assertEquals(""-89"", -89.0, Location.normalizeLatitude(-89.0), 0);
        assertEquals(""-90"", -90.0, Location.normalizeLatitude(-90.0), 0);
        assertEquals(""-91"", -89.0, Location.normalizeLatitude(-91.0), 0);
        assertEquals(""-179"", -1.0, Location.normalizeLatitude(-179.0), 0);
        assertEquals(""-180"", 0.0, Location.normalizeLatitude(-180.0), 0);
        assertEquals(""-181"", 1.0, Location.normalizeLatitude(-181.0), 0);
        assertEquals(""-269"", 89.0, Location.normalizeLatitude(-269.0), 0);
        assertEquals(""-270"", 90.0, Location.normalizeLatitude(-270.0), 0);
        assertEquals(""-271"", 89.0, Location.normalizeLatitude(-271.0), 0);
        assertEquals(""-359"", 1.0, Location.normalizeLatitude(-359.0), 0);
        assertEquals(""-360"", 0.0, Location.normalizeLatitude(-360.0), 0);
        assertEquals(""-361"", -1.0, Location.normalizeLatitude(-361.0), 0);
        assertEquals(""-719"", 1.0, Location.normalizeLatitude(-719.0), 0);
        assertEquals(""-721"", -1.0, Location.normalizeLatitude(-721.0), 0);

        // NaN is propagated.
        assertTrue(""NaN"", Double.isNaN(Location.normalizeLatitude(Double.NaN)));
    }",1,
